id,name,age,nationality,driving_power,driving_accuracy,approach_accuracy,short_game,putting,composure,confidence,focus,risk_tolerance,mental_fatigue,consistency,resilience,current_status,introduction_season
2101,Cory Knight S5,20,Ireland,73.7100936463457,54.5666465948727,86.5274185600698,72.1742114215856,67.7179492474121,58.8353261021926,61.8516059892144,32.514238723019,64.0748198929843,60.0722801035918,44.6668661785772,87.7845510414023,active,5
2102,Daniel Smith S5,21,Canada,84.2613168709233,82.5884488788164,43.2051243669819,43.3000641489384,41.0084524808153,85.6766275466044,77.5018251186701,54.3649724024349,38.8819225596718,67.8917859068623,48.7413566177403,56.1390594125684,active,5
2103,Roberto Henríquez S5,22,Chile,69.3889596820123,61.8174388459237,35.2946508045823,49.65667116496,87.4496063889304,42.9180824612008,50.1882598966649,56.8921709459219,33.6797743035578,81.860647732977,86.4174065541427,39.9602649084882,active,5
2104,Manfred Neuschäfer S5,21,Germany,67.4731235490395,57.7470467853006,47.9289922101887,91.6694615525359,36.2064917103573,36.3565176769223,78.5933982233387,92.2047706797077,35.5897475652794,68.3637382125405,33.0515595927605,73.2970476275589,active,5
2105,Travis Johnson S5,22,USA,70.1889918262497,91.4594008866505,77.4446226824106,62.3025644386565,72.0113640344746,32.7594261381947,65.4671289315632,38.7484460319418,45.3697605424236,81.0981925759473,42.3657584778889,42.0322528133999,active,5
2106,Jimmy Coleman S5,21,USA,33.1827625271778,69.6771972231816,35.2860473645041,86.668322515745,66.7145451289963,68.0125488534966,75.9389900409245,49.4925896198006,80.2699038792818,60.8818820251912,57.4840226774641,85.8318025553025,active,5
2107,Reece Skinner S5,20,Scotland,66.8542800907835,74.8057536622938,33.0053709074885,79.2623680923726,78.056646253381,39.3747754893439,80.1048257000662,33.4552265840368,81.8331473493539,69.5262356371354,83.3265686491286,35.5204215562202,active,5
2108,Damian Wright S5,20,England,70.3508389698719,48.4108447197646,85.0279658037395,91.7239709208251,30.7886893382857,66.7196341753256,50.1025565239462,74.6230151114818,42.1085308761494,65.0090111142684,68.9529045005903,45.6580186201621,active,5
2109,Gerard Cross S5,21,England,33.4131289608995,62.2817537784102,89.4264612312815,61.4322758026383,57.6329510982179,74.9923506348893,59.305902106461,80.1359765574248,66.6380227604739,54.6301184032836,40.5982070004199,44.9344885779197,active,5
2110,James Baker S5,22,USA,77.8437431107507,56.493178361299,90.8551066611648,94.5668573664675,44.5823384171387,45.7487954561196,81.3539756188537,94.7867372442761,60.2582132535605,83.6836415677603,65.7665310028378,79.6413756278901,active,5
2111,Elliot Holmes S5,22,England,35.0156248648266,72.6333025919904,89.7050500933185,47.1952466900207,93.3745123186255,80.6293849692069,43.3220939902943,60.5224991949059,76.8883962985756,30.1545190088322,89.7110007234774,86.6588267077645,active,5
2112,Randy Macias S5,19,USA,37.1220432460827,33.0971524013345,38.0621950432461,67.8730179407292,72.7907159291269,38.1518504061046,74.0742517600479,64.564127286913,51.4653528783147,34.6520082449971,53.7788029116877,82.5730702101408,active,5
