season_event,event_type,event_name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
5_1,Signature Event #1,Signature Event #1,Luke Clark,Austin Love,Tomas Brožová,Randall Miller,Pavel Čermák,Alexander Campbell,Peter Cook,Elliot Holmes,Terence Heaney,Kyle Morales,Josh Boyce,Darrell Baker,Aidan Reardon,Kevin Kent,Gerard Cross,Deaglan Brannelly,Juan Gaytán,Mark Estrada,William Ortega,Michael Davis,Wesley Cole,David Munoz,Kevin Hensley,Mark Perry,Piotr Stanisławek,Travis Callahan,Peter Sanders,Andrew Collins,Nathan Banks,Jozsef Horváth,Duncan Wood,Benjamin Taylor,Constantin Albu,David Ruiz,Steven Keller,Damon Peterson,Leslie Moore,Darren Jensen,James Cooper,Ante Jerič,Darius Grimes,Billy Williams,Kaur Tamm,Martin Simmons,John Johnson,Carlos Smith,Elliott Phillips,Colm Summerville,Joe Heath,Russell Warner,Christopher Ward,Vasile Tomescu,Bjorn Kjóisdóttir,Francisco Guajardo,Tyler Maughan,Chad Jones,Jeremy Freeman,Manuel Manning,Scott Young,Aaron Doyle,Brandon Silva,Timo Varis,Conor Lee,Jeffery Williams,Manfred Neuschäfer,Reece Skinner,Craig Smith,Travis Johnson,Peter Steiger,Allan Turner,Damian Wright,Anders Thomsen,Anthony Gaines,David Johnston,Patrick Schmitz,Simon Wilson,Sean Taylor,Nuno Antunes,Thomas Rogers,Joseph Black,Jesse West,Adam Milmo,Dennis Lyons,Ronald Hughes,John Case,Jose Lucero,Ashley Ahern,Trevor Booker,Gary Bryant,Timothy Hamilton,Zachary Patel,Anthony Reid,Jacob Williams,James Jennings,James Baker,Cory Knight,Ethan Cox,Diogo Freitas,Daniel Smith,Gareth Saunders,Samuel Gates,Daniel Whitaker,Ruari Magee,Adam Franco,Jason Clark,Christopher Dudley,Michael Crawford,Luis Arranz,Robert Lee,Karoly Molnár,Krzysztof Kaszkowiak,Christian Henry,Dennis Bridges,James Dennis,Michael Gordon,Michael Johnson,Piet De Coninck,Brian Buck,Kevin Roberts,Milan Paľovčík,Brandon Baker,Dillon Stanley,Callum Davison,Charles Leonard,Ricardo Antunes,Brian Bush,Frank Cole,Tim Smith,Tomas Tůmová,Craig Jackson,John Johnson,Roberto Henríquez,Adam Williams,Daniel Brown,Wolfgang Marte,Leonard Hamilton,Christopher Huerta,Jimmy Coleman,Ryan Hubbard,Magnus Hanssen,Harry Miles,John Lopez,Randy Macias,Graeme Miles,Brett Greenwood,Henk Bruggeman,Clifford Austin,Pedro Rodrigues,Clinton Warner,James Cain
5_2,Standard Event #2,Standard Event #2,Conor Lee,Timothy Hamilton,Kevin Roberts,David Johnston,James Jennings,James Dennis,Joe Heath,Scott Young,Darius Grimes,Jeffery Williams,Kevin Hensley,John Case,Michael Gordon,Kaur Tamm,Vasile Tomescu,Diogo Freitas,Daniel Whitaker,Sean Taylor,Luke Clark,Ante Jerič,Brandon Baker,Ryan Hubbard,Chad Jones,Jozsef Horváth,Timo Varis,William Ortega,Jose Lucero,Adam Franco,Bjorn Kjóisdóttir,Jesse West,Kevin Kent,Samuel Gates,Andrew Collins,John Johnson,Simon Wilson,Christopher Dudley,Luis Arranz,Aaron Doyle,Nathan Banks,Manuel Manning,Piet De Coninck,Darren Jensen,Randall Miller,Michael Davis,Christopher Huerta,Elliott Phillips,Tomas Brožová,Peter Sanders,Magnus Hanssen,Karoly Molnár,Travis Callahan,Jacob Williams,Anders Thomsen,Leonard Hamilton,Krzysztof Kaszkowiak,Mark Estrada,Michael Johnson,Deaglan Brannelly,Zachary Patel,Dennis Lyons,Brandon Silva,Anthony Reid,Steven Keller,Gerard Cross,Jimmy Coleman,Duncan Wood,Harry Miles,Craig Smith,Peter Steiger,Pavel Čermák,Manfred Neuschäfer,Jason Clark,Leslie Moore,Mark Perry,Ashley Ahern,Ethan Cox,Colm Summerville,Ruari Magee,Damon Peterson,Patrick Schmitz,Frank Cole,Gary Bryant,Robert Lee,Darrell Baker,Kyle Morales,David Ruiz,Juan Gaytán,Thomas Rogers,Adam Milmo,Michael Crawford,Martin Simmons,Josh Boyce,Gareth Saunders,Peter Cook,Benjamin Taylor,Aidan Reardon,Alexander Campbell,James Cain,Daniel Brown,Constantin Albu,Joseph Black,James Baker,Milan Paľovčík,Jeremy Freeman,Christian Henry,Wesley Cole,Tim Smith,Christopher Ward,Charles Leonard,Travis Johnson,Terence Heaney,Damian Wright,Brian Bush,Callum Davison,Graeme Miles,Cory Knight,Adam Williams,Billy Williams,Austin Love,Wolfgang Marte,Tyler Maughan,Dillon Stanley,Elliot Holmes,Trevor Booker,Russell Warner,Craig Jackson,Daniel Smith,David Munoz,Allan Turner,Francisco Guajardo,Pedro Rodrigues,Reece Skinner,Tomas Tůmová,Nuno Antunes,Anthony Gaines,Ricardo Antunes,James Cooper,Carlos Smith,Clinton Warner,Roberto Henríquez,Dennis Bridges,Randy Macias,Piotr Stanisławek,Brett Greenwood,John Johnson,Henk Bruggeman,Brian Buck,John Lopez,Clifford Austin,Ronald Hughes
5_3,Standard Invitational #1,Standard Invitational #1,Anders Thomsen,James Baker,Craig Jackson,Randall Miller,Anthony Gaines,Pavel Čermák,Jeffery Williams,Leslie Moore,Bjorn Kjóisdóttir,Vasile Tomescu,Patrick Schmitz,Carlos Smith,Zachary Patel,Kyle Morales,Daniel Whitaker,Joe Heath,Conor Lee,Sean Taylor,Dennis Lyons,Kevin Kent,Cory Knight,Ryan Hubbard,James Jennings,Michael Gordon,Adam Milmo,David Ruiz,Chad Jones,Trevor Booker,Ricardo Antunes,Martin Simmons,Luke Clark,Charles Leonard,Wolfgang Marte,Terence Heaney,Jason Clark,Brian Bush,Constantin Albu,Kaur Tamm,Ethan Cox,Elliott Phillips,Thomas Rogers,Jose Lucero,Jesse West,Milan Paľovčík,Brandon Baker,Austin Love,James Dennis,Darren Jensen,Francisco Guajardo,Frank Cole,Kevin Hensley,Jozsef Horváth,Juan Gaytán,Robert Lee,Piet De Coninck,Peter Sanders,Scott Young,Mark Perry,Brandon Silva,Elliot Holmes,Josh Boyce,Daniel Smith,John Case,William Ortega,Tyler Maughan,David Johnston,Diogo Freitas,Kevin Roberts,Adam Franco,Ruari Magee,Tomas Brožová,Peter Cook,Brian Buck,Graeme Miles,Nathan Banks,Steven Keller,Benjamin Taylor,Andrew Collins,Manuel Manning,Christopher Dudley,Billy Williams,Mark Estrada,Harry Miles,Nuno Antunes,Gary Bryant,Peter Steiger,Michael Johnson,Christopher Ward,Michael Davis,Russell Warner,Jeremy Freeman,Daniel Brown,Darius Grimes,Ante Jerič,Timothy Hamilton,John Johnson,Leonard Hamilton,Darrell Baker,Travis Callahan,Samuel Gates,Wesley Cole,James Cooper,Callum Davison,Adam Williams,Joseph Black,Karoly Molnár,Aaron Doyle,Michael Crawford,David Munoz,Aidan Reardon,Dillon Stanley,Gareth Saunders,Pedro Rodrigues,John Lopez,Magnus Hanssen,Gerard Cross,Deaglan Brannelly,Luis Arranz,Duncan Wood,Anthony Reid,Craig Smith,Christian Henry,Jacob Williams,Clifford Austin,Travis Johnson,Simon Wilson,Alexander Campbell,Krzysztof Kaszkowiak,Tomas Tůmová,Damon Peterson,Ashley Ahern,Christopher Huerta,Piotr Stanisławek,Tim Smith,Colm Summerville,Clinton Warner,Jimmy Coleman,James Cain,Timo Varis,Brett Greenwood,Allan Turner,Manfred Neuschäfer,Roberto Henríquez,Damian Wright,Randy Macias,Ronald Hughes,Reece Skinner,John Johnson,Henk Bruggeman,Dennis Bridges
5_4,Standard Event #4,Standard Event #4,Jose Lucero,Patrick Schmitz,Deaglan Brannelly,Conor Lee,Callum Davison,Kevin Roberts,Adam Williams,Pavel Čermák,Mark Estrada,Andrew Collins,Kaur Tamm,Dillon Stanley,Alexander Campbell,Luke Clark,Elliot Holmes,Randall Miller,Diogo Freitas,Kevin Kent,John Case,Chad Jones,Russell Warner,Manuel Manning,Joe Heath,Travis Callahan,Nathan Banks,Gareth Saunders,Kyle Morales,Darrell Baker,Tomas Brožová,Nuno Antunes,Josh Boyce,Jeffery Williams,Scott Young,James Baker,Craig Smith,Vasile Tomescu,Jason Clark,Peter Steiger,Steven Keller,Anthony Reid,Luis Arranz,Wesley Cole,Daniel Whitaker,Austin Love,Elliott Phillips,Ashley Ahern,Juan Gaytán,Jacob Williams,Trevor Booker,Timo Varis,Ricardo Antunes,David Ruiz,James Cooper,Jozsef Horváth,Karoly Molnár,Colm Summerville,Leslie Moore,Michael Davis,Zachary Patel,Robert Lee,Aidan Reardon,Milan Paľovčík,Krzysztof Kaszkowiak,Benjamin Taylor,Piotr Stanisławek,Timothy Hamilton,Christian Henry,Francisco Guajardo,John Lopez,Martin Simmons,Brandon Baker,Allan Turner,Christopher Ward,Tim Smith,Anders Thomsen,David Johnston,Darius Grimes,Harry Miles,Jeremy Freeman,Kevin Hensley,Michael Crawford,Damon Peterson,Gary Bryant,Joseph Black,Peter Sanders,Craig Jackson,Cory Knight,Samuel Gates,Adam Milmo,Charles Leonard,William Ortega,Randy Macias,Ryan Hubbard,Reece Skinner,Aaron Doyle,Constantin Albu,Daniel Smith,John Johnson,Mark Perry,Leonard Hamilton,Ethan Cox,Travis Johnson,Carlos Smith,Frank Cole,Bjorn Kjóisdóttir,Tyler Maughan,Dennis Bridges,Ruari Magee,Michael Johnson,Tomas Tůmová,Damian Wright,Jesse West,Terence Heaney,Sean Taylor,Billy Williams,Daniel Brown,Darren Jensen,Anthony Gaines,Gerard Cross,Michael Gordon,Henk Bruggeman,Simon Wilson,Adam Franco,Ante Jerič,Thomas Rogers,Christopher Huerta,Brandon Silva,Peter Cook,Piet De Coninck,Duncan Wood,James Jennings,James Dennis,Dennis Lyons,Wolfgang Marte,Roberto Henríquez,Clinton Warner,James Cain,Brian Buck,Christopher Dudley,Jimmy Coleman,David Munoz,Pedro Rodrigues,Magnus Hanssen,Ronald Hughes,Brian Bush,John Johnson,Manfred Neuschäfer,Brett Greenwood,Graeme Miles,Clifford Austin
5_5,Standard Event #3,Standard Event #3,Conor Lee,Zachary Patel,Martin Simmons,Kevin Kent,Peter Sanders,Charles Leonard,David Munoz,Anthony Reid,Patrick Schmitz,Jozsef Horváth,Harry Miles,Callum Davison,James Baker,Damian Wright,Darius Grimes,Brandon Silva,Constantin Albu,John Case,Michael Davis,Leslie Moore,Pavel Čermák,Steven Keller,Kyle Morales,Mark Estrada,Karoly Molnár,Michael Johnson,Elliot Holmes,William Ortega,Craig Smith,Ruari Magee,James Jennings,Manuel Manning,Chad Jones,Wolfgang Marte,Austin Love,Juan Gaytán,Jeffery Williams,Kevin Hensley,Terence Heaney,Piet De Coninck,Luis Arranz,Anders Thomsen,Bjorn Kjóisdóttir,Vasile Tomescu,Aidan Reardon,Wesley Cole,Elliott Phillips,Nuno Antunes,Russell Warner,Piotr Stanisławek,Adam Milmo,Milan Paľovčík,Josh Boyce,Michael Gordon,Ethan Cox,Jesse West,Gareth Saunders,Peter Cook,Thomas Rogers,Joseph Black,Gerard Cross,Jose Lucero,David Johnston,Christopher Ward,Tim Smith,Benjamin Taylor,Christian Henry,Kaur Tamm,Diogo Freitas,Darrell Baker,Andrew Collins,Cory Knight,David Ruiz,Sean Taylor,Ryan Hubbard,Adam Williams,Roberto Henríquez,Timo Varis,Adam Franco,Michael Crawford,John Johnson,James Dennis,John Lopez,Travis Johnson,Jason Clark,Scott Young,Brian Bush,Alexander Campbell,Billy Williams,Reece Skinner,Jeremy Freeman,Jacob Williams,Trevor Booker,Duncan Wood,Peter Steiger,Carlos Smith,Robert Lee,Dennis Lyons,Colm Summerville,Craig Jackson,Daniel Smith,Magnus Hanssen,Mark Perry,Graeme Miles,Damon Peterson,Allan Turner,Jimmy Coleman,Tomas Tůmová,Randy Macias,Travis Callahan,Daniel Whitaker,Randall Miller,Deaglan Brannelly,James Cooper,Dillon Stanley,Leonard Hamilton,Christopher Dudley,Joe Heath,Henk Bruggeman,Krzysztof Kaszkowiak,Gary Bryant,Brandon Baker,Timothy Hamilton,Daniel Brown,Simon Wilson,Clifford Austin,Ronald Hughes,Tomas Brožová,Francisco Guajardo,Darren Jensen,Samuel Gates,Ashley Ahern,Nathan Banks,Frank Cole,John Johnson,Christopher Huerta,Brett Greenwood,Tyler Maughan,Ricardo Antunes,Aaron Doyle,Manfred Neuschäfer,Anthony Gaines,Luke Clark,Kevin Roberts,Brian Buck,Ante Jerič,Dennis Bridges,Clinton Warner,Pedro Rodrigues,James Cain
5_6,Standard Event #6,Standard Event #6,Conor Lee,Bjorn Kjóisdóttir,Diogo Freitas,Dennis Lyons,Jesse West,Kevin Hensley,Aidan Reardon,Karoly Molnár,Travis Callahan,Luke Clark,Jose Lucero,Leslie Moore,Timothy Hamilton,Jeremy Freeman,Michael Gordon,Christopher Ward,Michael Johnson,Ethan Cox,Juan Gaytán,Luis Arranz,Randall Miller,Charles Leonard,Mark Estrada,Constantin Albu,Adam Franco,David Johnston,Billy Williams,Ruari Magee,James Dennis,Kyle Morales,Cory Knight,Nathan Banks,Peter Steiger,Vasile Tomescu,James Jennings,Terence Heaney,Elliott Phillips,Scott Young,Tyler Maughan,Zachary Patel,Elliot Holmes,Gary Bryant,Callum Davison,Carlos Smith,Christian Henry,Joseph Black,John Johnson,Darrell Baker,Darren Jensen,Brian Buck,Mark Perry,Aaron Doyle,Daniel Brown,Trevor Booker,Brandon Baker,Damon Peterson,Piet De Coninck,Robert Lee,Benjamin Taylor,Clinton Warner,Darius Grimes,Manuel Manning,Harry Miles,Wesley Cole,Krzysztof Kaszkowiak,Sean Taylor,Timo Varis,Daniel Smith,Christopher Huerta,Leonard Hamilton,Kaur Tamm,Andrew Collins,Brandon Silva,Samuel Gates,Simon Wilson,Adam Milmo,Piotr Stanisławek,Jeffery Williams,Gerard Cross,William Ortega,Dillon Stanley,Thomas Rogers,Travis Johnson,James Baker,Daniel Whitaker,Francisco Guajardo,Ricardo Antunes,Ryan Hubbard,Patrick Schmitz,James Cooper,Peter Cook,Reece Skinner,Kevin Kent,Craig Jackson,Adam Williams,Nuno Antunes,John Lopez,Steven Keller,Wolfgang Marte,Jason Clark,Jimmy Coleman,Milan Paľovčík,Austin Love,Henk Bruggeman,Ante Jerič,Michael Davis,Russell Warner,David Munoz,Peter Sanders,David Ruiz,Gareth Saunders,Pavel Čermák,Martin Simmons,Michael Crawford,Jacob Williams,Ronald Hughes,Tomas Brožová,Damian Wright,Anthony Reid,Josh Boyce,Christopher Dudley,John Case,Deaglan Brannelly,Anders Thomsen,Tim Smith,Pedro Rodrigues,Brett Greenwood,Brian Bush,Chad Jones,Joe Heath,Alexander Campbell,Jozsef Horváth,Craig Smith,Colm Summerville,Manfred Neuschäfer,Duncan Wood,Magnus Hanssen,Frank Cole,Anthony Gaines,Kevin Roberts,Allan Turner,Randy Macias,Ashley Ahern,Graeme Miles,Tomas Tůmová,John Johnson,Roberto Henríquez,Dennis Bridges,James Cain,Clifford Austin
5_7,Standard Invitational #3,Standard Invitational #3,Pavel Čermák,Martin Simmons,Tyler Maughan,Francisco Guajardo,Luis Arranz,Dillon Stanley,Diogo Freitas,Michael Davis,Leslie Moore,Adam Milmo,Andrew Collins,Chad Jones,William Ortega,Jozsef Horváth,Thomas Rogers,Michael Crawford,Kevin Roberts,Jason Clark,Kevin Kent,Jose Lucero,Mark Estrada,Juan Gaytán,Daniel Whitaker,Josh Boyce,Krzysztof Kaszkowiak,Elliot Holmes,James Jennings,Manuel Manning,Michael Gordon,Anthony Reid,Steven Keller,Damon Peterson,Jacob Williams,Nathan Banks,Harry Miles,Anthony Gaines,Wolfgang Marte,Kyle Morales,Anders Thomsen,Adam Franco,Zachary Patel,Darren Jensen,Aidan Reardon,Brandon Baker,Clinton Warner,Elliott Phillips,Charles Leonard,Colm Summerville,Jesse West,Piet De Coninck,Allan Turner,Conor Lee,Carlos Smith,Brandon Silva,Darrell Baker,Cory Knight,Brian Bush,Tomas Brožová,Ruari Magee,Ante Jerič,Gerard Cross,Wesley Cole,Kaur Tamm,Sean Taylor,Trevor Booker,Nuno Antunes,Vasile Tomescu,John Case,Bjorn Kjóisdóttir,Austin Love,Adam Williams,David Johnston,Peter Sanders,Christopher Dudley,Darius Grimes,Ryan Hubbard,Benjamin Taylor,Daniel Brown,Travis Callahan,Daniel Smith,Aaron Doyle,Gareth Saunders,Ethan Cox,Peter Cook,Craig Jackson,Gary Bryant,Dennis Lyons,Patrick Schmitz,Randall Miller,James Dennis,Billy Williams,Samuel Gates,Dennis Bridges,Callum Davison,Christian Henry,Ashley Ahern,James Baker,Reece Skinner,Tomas Tůmová,Jeremy Freeman,Luke Clark,James Cooper,James Cain,David Ruiz,Constantin Albu,Kevin Hensley,Robert Lee,Mark Perry,Ronald Hughes,Timothy Hamilton,Peter Steiger,Joseph Black,Jeffery Williams,Joe Heath,Duncan Wood,Karoly Molnár,Manfred Neuschäfer,Deaglan Brannelly,Alexander Campbell,Craig Smith,Frank Cole,Russell Warner,Simon Wilson,Michael Johnson,Tim Smith,John Johnson,Magnus Hanssen,Pedro Rodrigues,Milan Paľovčík,Clifford Austin,Piotr Stanisławek,Leonard Hamilton,Terence Heaney,Brian Buck,Scott Young,Timo Varis,John Johnson,David Munoz,Roberto Henríquez,Jimmy Coleman,Travis Johnson,Christopher Ward,Ricardo Antunes,Randy Macias,Damian Wright,Henk Bruggeman,Brett Greenwood,Graeme Miles,Christopher Huerta,John Lopez
5_8,Standard Event #8,Standard Event #8,Karoly Molnár,Leslie Moore,Conor Lee,Martin Simmons,Andrew Collins,Elliot Holmes,Kevin Hensley,Constantin Albu,Sean Taylor,Anthony Gaines,Wesley Cole,Nathan Banks,Reece Skinner,Bjorn Kjóisdóttir,Joe Heath,Dennis Lyons,Billy Williams,Steven Keller,Josh Boyce,Jesse West,Terence Heaney,Brian Bush,Ethan Cox,Tyler Maughan,Kaur Tamm,Ryan Hubbard,Milan Paľovčík,Wolfgang Marte,Kevin Roberts,James Dennis,Thomas Rogers,Anders Thomsen,Diogo Freitas,Michael Davis,Zachary Patel,Mark Estrada,Kevin Kent,Travis Johnson,Piotr Stanisławek,Darius Grimes,Michael Johnson,Leonard Hamilton,Russell Warner,Jose Lucero,Benjamin Taylor,Colm Summerville,David Ruiz,Jason Clark,Simon Wilson,David Johnston,Vasile Tomescu,Elliott Phillips,William Ortega,Aidan Reardon,Ante Jerič,Joseph Black,Luke Clark,Anthony Reid,Travis Callahan,Peter Cook,Peter Steiger,Duncan Wood,Jozsef Horváth,Luis Arranz,Daniel Brown,Manfred Neuschäfer,Harry Miles,Craig Smith,Craig Jackson,Christopher Dudley,Kyle Morales,Michael Gordon,Randall Miller,Patrick Schmitz,Alexander Campbell,Deaglan Brannelly,Roberto Henríquez,Daniel Smith,Cory Knight,Adam Williams,Chad Jones,John Lopez,Brian Buck,Manuel Manning,Ashley Ahern,James Baker,Damon Peterson,Adam Franco,Ricardo Antunes,Aaron Doyle,Juan Gaytán,Darrell Baker,Jeremy Freeman,Pavel Čermák,Gary Bryant,Samuel Gates,Brandon Baker,Christopher Ward,Dillon Stanley,Peter Sanders,Michael Crawford,Charles Leonard,Carlos Smith,Tim Smith,Brett Greenwood,Christopher Huerta,Clinton Warner,Ruari Magee,Francisco Guajardo,Dennis Bridges,Adam Milmo,Daniel Whitaker,Nuno Antunes,Piet De Coninck,Tomas Tůmová,Callum Davison,Austin Love,Krzysztof Kaszkowiak,Darren Jensen,Gerard Cross,Scott Young,Randy Macias,Jeffery Williams,Christian Henry,Timothy Hamilton,John Case,Timo Varis,Tomas Brožová,James Cooper,Mark Perry,John Johnson,James Jennings,David Munoz,Jacob Williams,Allan Turner,Robert Lee,Graeme Miles,Brandon Silva,Frank Cole,Trevor Booker,Magnus Hanssen,Gareth Saunders,James Cain,Pedro Rodrigues,Henk Bruggeman,Damian Wright,John Johnson,Ronald Hughes,Clifford Austin,Jimmy Coleman
5_9,Signature Event #2,Signature Event #2,Jeffery Williams,Vasile Tomescu,James Baker,Carlos Smith,Jozsef Horváth,Kaur Tamm,Kevin Kent,Randall Miller,Bjorn Kjóisdóttir,Anthony Gaines,Leslie Moore,Mark Estrada,Gareth Saunders,Aaron Doyle,Peter Steiger,Conor Lee,William Ortega,Peter Cook,Joe Heath,Ryan Hubbard,Karoly Molnár,Jason Clark,Joseph Black,Kyle Morales,Kevin Hensley,Constantin Albu,Mark Perry,Damon Peterson,Zachary Patel,Craig Jackson,Deaglan Brannelly,Allan Turner,Tomas Brožová,Daniel Whitaker,Nuno Antunes,Martin Simmons,Manuel Manning,Brian Bush,Brandon Baker,David Johnston,Daniel Smith,Andrew Collins,Patrick Schmitz,Josh Boyce,Michael Gordon,Tim Smith,Steven Keller,Billy Williams,Aidan Reardon,Samuel Gates,Elliott Phillips,Adam Milmo,Harry Miles,Luke Clark,Adam Franco,James Dennis,Dillon Stanley,Darren Jensen,Dennis Lyons,Terence Heaney,Simon Wilson,Darius Grimes,Trevor Booker,David Munoz,Milan Paľovčík,Colm Summerville,Piet De Coninck,Kevin Roberts,Ashley Ahern,Jeremy Freeman,Alexander Campbell,Nathan Banks,Juan Gaytán,Timo Varis,Michael Crawford,Leonard Hamilton,Darrell Baker,Gary Bryant,Anders Thomsen,Christopher Huerta,Christopher Ward,Wolfgang Marte,Christopher Dudley,Jesse West,Jose Lucero,Timothy Hamilton,Ruari Magee,Ante Jerič,Luis Arranz,Adam Williams,Gerard Cross,Anthony Reid,Ethan Cox,Scott Young,Thomas Rogers,Michael Davis,Peter Sanders,Craig Smith,Tyler Maughan,Elliot Holmes,Russell Warner,Travis Johnson,Pavel Čermák,Brandon Silva,Jimmy Coleman,Callum Davison,Roberto Henríquez,Travis Callahan,Francisco Guajardo,Wesley Cole,Diogo Freitas,Duncan Wood,Robert Lee,Charles Leonard,Michael Johnson,Benjamin Taylor,Frank Cole,Damian Wright,Christian Henry,John Johnson,John Johnson,Chad Jones,David Ruiz,Graeme Miles,Cory Knight,Piotr Stanisławek,Tomas Tůmová,Sean Taylor,John Lopez,John Case,Daniel Brown,Jacob Williams,James Jennings,Magnus Hanssen,Austin Love,Manfred Neuschäfer,Krzysztof Kaszkowiak,Brett Greenwood,Brian Buck,Reece Skinner,Randy Macias,James Cooper,Pedro Rodrigues,Ricardo Antunes,Clinton Warner,Ronald Hughes,Clifford Austin,Henk Bruggeman,Dennis Bridges,James Cain
5_10,Mini Major,Continental Championship,Elliott Phillips,Manuel Manning,James Dennis,Leslie Moore,Christian Henry,Andrew Collins,Kevin Kent,Jesse West,John Case,Chad Jones,Christopher Dudley,William Ortega,Daniel Whitaker,Conor Lee,Ethan Cox,Juan Gaytán,Russell Warner,Brandon Silva,Steven Keller,Mark Perry,Milan Paľovčík,Timothy Hamilton,Karoly Molnár,Kyle Morales,Adam Milmo,Aidan Reardon,Tyler Maughan,Krzysztof Kaszkowiak,Jeffery Williams,Tomas Brožová,Travis Callahan,Mark Estrada,Terence Heaney,Dennis Lyons,Randall Miller,Colm Summerville,Christopher Ward,Brandon Baker,Scott Young,Nathan Banks,Patrick Schmitz,James Jennings,Simon Wilson,Wesley Cole,Ashley Ahern,Sean Taylor,Francisco Guajardo,Pavel Čermák,Trevor Booker,Ante Jerič,Vasile Tomescu,Damon Peterson,Samuel Gates,David Johnston,James Cooper,Peter Sanders,Bjorn Kjóisdóttir,Zachary Patel,Luis Arranz,Anthony Reid,Kevin Roberts,Austin Love,Tim Smith,Darius Grimes,Daniel Brown,Brian Bush,Dillon Stanley,Luke Clark,Gerard Cross,Constantin Albu,Martin Simmons,Michael Johnson,Michael Crawford,John Johnson,Peter Steiger,Jacob Williams,Jason Clark,Frank Cole,Wolfgang Marte,Darren Jensen,Callum Davison,Billy Williams,Kevin Hensley,David Munoz,Darrell Baker,Michael Gordon,Gary Bryant,Diogo Freitas,Ryan Hubbard,Brian Buck,Craig Jackson,Allan Turner,Joe Heath,Josh Boyce,Michael Davis,Ruari Magee,Clinton Warner,Nuno Antunes,Alexander Campbell,Adam Franco,Ronald Hughes,Anthony Gaines,Daniel Smith,Henk Bruggeman,Adam Williams,Roberto Henríquez,Magnus Hanssen,Thomas Rogers,Craig Smith,Manfred Neuschäfer,Jozsef Horváth,Pedro Rodrigues,Jeremy Freeman,Kaur Tamm,Randy Macias,Timo Varis,Leonard Hamilton,Charles Leonard,Robert Lee,Joseph Black,Aaron Doyle,Duncan Wood,Christopher Huerta,Carlos Smith,Travis Johnson,David Ruiz,Harry Miles,Benjamin Taylor,Jose Lucero,James Baker,Anders Thomsen,Tomas Tůmová,Cory Knight,Jimmy Coleman,Elliot Holmes,Ricardo Antunes,Peter Cook,Gareth Saunders,Reece Skinner,Piotr Stanisławek,Damian Wright,Deaglan Brannelly,John Johnson,James Cain,Brett Greenwood,Graeme Miles,Dennis Bridges,Piet De Coninck,John Lopez,Clifford Austin
