season_event,event_type,event_name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
10_1,Signature Event #1,Signature Event #1,Conor Lee,Eric Welch,Harry Miles,Bryan Lennon,Ryan Hubbard,Ethan Cox,Travis Callahan,Kevin Hensley,Antanas Žukauskas,Anthony Reid,Huynh Phạm,Mariusz Machowicz,Andrew Garrett,Shaun Wilson,Dale Howell,Francisco Guajardo,Aidan Reardon,Brandon Baker,Oliver Smith,Peter Steiger,Andrew Collins,Constantin Albu,Nathaniel Dunn,Nathan Banks,William Hernandez,Adam Franco,Joshua Church,Kyle Morales,Billy Williams,Jeffery Williams,Arthur Carter,Michael Crawford,John Krause,Abdul Shaw,David Munoz,William Ortega,Terry Nguyen,Daniel Wilson,Andreas Weinhage,David Garcia,Diogo Freitas,Leslie Moore,Charles Leonard,Mark Estrada,Daniel Whitaker,Bjorn Kjóisdóttir,Aaron Doyle,Darius Grimes,Joe Heath,Philip Hall,Manuel Manning,Michael Russell,Ronald Wilcox,Joe Hayes,Anders Thomsen,Jeremy Freeman,Christian Henry,Russell Warner,Michael Carrillo,Dennis Lyons,Damon Peterson,Vasile Tomescu,Shane Harris,Stephen Johnson,Elliott Phillips,Jon Steinþórsson,Michael Gordon,Kelly Ward,Nicolae Cristea,Steven Keller,Duncan Wood,Tyler Maughan,Terence Heaney,Timo Varis,Jeffrey Alexander,Michael Jäkel,Adam Milmo,Evan Dasey,Bryan Washington,Jose Lucero,Pavel Čermák,Miguel Loyola,Karoly Molnár,Darrell Baker,Luis Arranz,Danny Taylor,Tomas Brožová,Patrick Schmitz,Martin Simmons,Mark Perry,Budi Mansur,Kevin Kent,Stephen Schwartz,Craig Smith,James Dennis,Michael Davis,Ferenc Nagy,Vaclav Urban,Jesse West,Randall Miller,Constantin Stănescu,Finbar McKelvey,Brian Mccullough,Owen Taylor,David Morris,Daniel Cruz,Jonathan Walters,Stanley Harrison,Chad Jones,Kevin Thomas,Wolfgang Misicher,Luke Clark,Christian Henry,Macauley McCluskey,Dieter Kruschwitz,Michael Johnson,Dominic Wong,Zachary Patel,Antonio Tanzini,Callum Jones,Sean Taylor,Kaur Tamm,Daniel Carter,Bruce Ramirez,Juan Bird,Josh Boyce,Adam Martinez,Joe Ross,Gustav Pedersen,Pavel Marošová,Michael Sorgatz,George Leblanc,Magnus Kristoffersen,James Jennings,Jason Clark,Jorge Daniels,Matthew Kim,Magnus Svavarsson,Scott Watson,Kyle Cole,Andrea Casarin,Callum Davison,Milan Paľovčík,Bernard Dubois,Kristjan Sillisdóttir,Ronald Lambrechts,Steven King,Dylan Dickinson,John Duke,William McNeely
10_2,Standard Event #2,Standard Event #2,Charles Leonard,Luis Arranz,Bjorn Kjóisdóttir,Michael Russell,Mariusz Machowicz,Huynh Phạm,Luke Clark,Sean Taylor,Danny Taylor,Michael Davis,Jesse West,Ronald Wilcox,Terry Nguyen,Anthony Reid,Kevin Kent,Nathaniel Dunn,Jon Steinþórsson,Martin Simmons,Bryan Washington,Andreas Weinhage,Eric Welch,Pavel Čermák,Juan Bird,Manuel Manning,William Ortega,Daniel Cruz,Andrew Collins,Zachary Patel,Miguel Loyola,Randall Miller,Bryan Lennon,Billy Williams,Shaun Wilson,Chad Jones,Michael Jäkel,Kaur Tamm,Adam Milmo,Philip Hall,Michael Sorgatz,Steven Keller,Stephen Schwartz,Aidan Reardon,Joe Heath,Abdul Shaw,Mark Estrada,Nicolae Cristea,Kyle Morales,Mark Perry,James Jennings,Kyle Cole,Daniel Carter,Joe Hayes,Daniel Whitaker,Shane Harris,Kevin Thomas,Leslie Moore,Jeffery Williams,Duncan Wood,Budi Mansur,David Munoz,James Dennis,Jason Clark,Anders Thomsen,Michael Johnson,John Krause,Darius Grimes,Stanley Harrison,Owen Taylor,Harry Miles,Antanas Žukauskas,Tomas Brožová,David Morris,Magnus Kristoffersen,William Hernandez,John Duke,Peter Steiger,Andrea Casarin,Jorge Daniels,Timo Varis,Kristjan Sillisdóttir,Oliver Smith,Travis Callahan,Callum Davison,Francisco Guajardo,Craig Smith,Terence Heaney,Diogo Freitas,Russell Warner,Darrell Baker,Gustav Pedersen,Patrick Schmitz,Brandon Baker,Finbar McKelvey,Ethan Cox,Conor Lee,Ryan Hubbard,Jeremy Freeman,Damon Peterson,Scott Watson,Arthur Carter,David Garcia,Vasile Tomescu,Evan Dasey,Macauley McCluskey,Pavel Marošová,Michael Crawford,Tyler Maughan,Callum Jones,Josh Boyce,Bruce Ramirez,Adam Martinez,Dennis Lyons,Constantin Albu,Dale Howell,Ferenc Nagy,Nathan Banks,Elliott Phillips,Jose Lucero,Matthew Kim,Christian Henry,Michael Gordon,Christian Henry,Constantin Stănescu,Adam Franco,Karoly Molnár,Dylan Dickinson,George Leblanc,Milan Paľovčík,Stephen Johnson,Joe Ross,Jeffrey Alexander,Andrew Garrett,Kevin Hensley,Michael Carrillo,Daniel Wilson,Wolfgang Misicher,Vaclav Urban,Aaron Doyle,Jonathan Walters,Brian Mccullough,Joshua Church,Kelly Ward,Dominic Wong,Bernard Dubois,William McNeely,Ronald Lambrechts,Dieter Kruschwitz,Antonio Tanzini,Steven King,Magnus Svavarsson
10_3,Standard Invitational #1,Standard Invitational #1,Damon Peterson,Leslie Moore,Karoly Molnár,Danny Taylor,Kevin Hensley,Patrick Schmitz,Milan Paľovčík,Randall Miller,Macauley McCluskey,Martin Simmons,Anders Thomsen,Constantin Albu,Ronald Wilcox,Dale Howell,Nathaniel Dunn,Anthony Reid,Bjorn Kjóisdóttir,Michael Davis,Luke Clark,Stephen Schwartz,Callum Davison,Jon Steinþórsson,Michael Carrillo,Jeffery Williams,Adam Franco,Eric Welch,Daniel Wilson,Ethan Cox,Jesse West,Michael Crawford,Kyle Morales,Charles Leonard,Shaun Wilson,Aaron Doyle,Kaur Tamm,Conor Lee,Francisco Guajardo,William Ortega,Peter Steiger,Stephen Johnson,Magnus Kristoffersen,David Garcia,Vaclav Urban,Bryan Washington,Zachary Patel,Chad Jones,Huynh Phạm,Craig Smith,Dominic Wong,Joe Heath,Sean Taylor,Bruce Ramirez,Nicolae Cristea,Adam Milmo,Bryan Lennon,Brian Mccullough,Vasile Tomescu,George Leblanc,Travis Callahan,Andrea Casarin,Michael Russell,Diogo Freitas,Antanas Žukauskas,Tyler Maughan,Adam Martinez,Ferenc Nagy,Brandon Baker,Dennis Lyons,Michael Jäkel,Aidan Reardon,John Krause,Andrew Garrett,David Morris,Mark Perry,John Duke,Nathan Banks,Budi Mansur,Shane Harris,Juan Bird,Oliver Smith,David Munoz,Joshua Church,Jason Clark,Russell Warner,James Jennings,Christian Henry,Daniel Cruz,Luis Arranz,Michael Sorgatz,Philip Hall,Arthur Carter,Josh Boyce,Manuel Manning,Scott Watson,Kevin Kent,Duncan Wood,Jorge Daniels,Miguel Loyola,Evan Dasey,Daniel Whitaker,James Dennis,Kevin Thomas,Michael Johnson,Christian Henry,Jose Lucero,Darrell Baker,Kelly Ward,Antonio Tanzini,Mark Estrada,Michael Gordon,Joe Hayes,Elliott Phillips,Jeremy Freeman,Mariusz Machowicz,Pavel Čermák,Steven Keller,Terence Heaney,Wolfgang Misicher,Owen Taylor,Magnus Svavarsson,Bernard Dubois,Constantin Stănescu,Jonathan Walters,Harry Miles,Timo Varis,Andreas Weinhage,Andrew Collins,Abdul Shaw,Kyle Cole,Daniel Carter,Joe Ross,Ryan Hubbard,Matthew Kim,Terry Nguyen,Billy Williams,Ronald Lambrechts,Darius Grimes,Finbar McKelvey,Kristjan Sillisdóttir,Tomas Brožová,William Hernandez,Pavel Marošová,Dieter Kruschwitz,Stanley Harrison,Steven King,Gustav Pedersen,Jeffrey Alexander,Dylan Dickinson,Callum Jones,William McNeely
10_4,Standard Event #4,Standard Event #4,Kevin Kent,Martin Simmons,Vasile Tomescu,Christian Henry,Eric Welch,Dennis Lyons,Aidan Reardon,Bryan Lennon,John Krause,Russell Warner,Michael Crawford,Karoly Molnár,Daniel Wilson,Oliver Smith,Jesse West,Mark Estrada,Mark Perry,Joshua Church,Mariusz Machowicz,Constantin Albu,Stephen Johnson,William Ortega,Luis Arranz,Diogo Freitas,Jonathan Walters,Darius Grimes,Michael Gordon,Daniel Whitaker,Andrew Collins,Michael Sorgatz,James Dennis,Stephen Schwartz,Randall Miller,Harry Miles,Ferenc Nagy,Macauley McCluskey,Christian Henry,Elliott Phillips,Shane Harris,Michael Russell,Adam Milmo,Kaur Tamm,Zachary Patel,Josh Boyce,Nathan Banks,Jeremy Freeman,Travis Callahan,Bjorn Kjóisdóttir,Nicolae Cristea,Damon Peterson,David Munoz,Brandon Baker,Daniel Cruz,David Morris,George Leblanc,Aaron Doyle,Terry Nguyen,Milan Paľovčík,Steven Keller,Manuel Manning,Michael Jäkel,Charles Leonard,Miguel Loyola,Jeffery Williams,Shaun Wilson,Magnus Kristoffersen,Leslie Moore,David Garcia,Philip Hall,Timo Varis,Peter Steiger,Budi Mansur,Kevin Hensley,Bryan Washington,Conor Lee,Michael Johnson,Callum Davison,Danny Taylor,Ryan Hubbard,Owen Taylor,William Hernandez,Pavel Marošová,Chad Jones,Magnus Svavarsson,Stanley Harrison,Francisco Guajardo,Huynh Phạm,Craig Smith,Andreas Weinhage,Joe Hayes,Ronald Lambrechts,Luke Clark,Pavel Čermák,Scott Watson,Dale Howell,Abdul Shaw,Antonio Tanzini,Juan Bird,Jason Clark,William McNeely,Patrick Schmitz,Jose Lucero,Jeffrey Alexander,Terence Heaney,Adam Franco,Anders Thomsen,Steven King,Dominic Wong,Ronald Wilcox,Jorge Daniels,Brian Mccullough,Michael Davis,Kyle Morales,Constantin Stănescu,Joe Heath,Jon Steinþórsson,Duncan Wood,Kyle Cole,Bernard Dubois,Anthony Reid,Vaclav Urban,Nathaniel Dunn,Joe Ross,Ethan Cox,Evan Dasey,Tomas Brožová,Wolfgang Misicher,Michael Carrillo,Darrell Baker,Tyler Maughan,Sean Taylor,Kelly Ward,Callum Jones,Billy Williams,James Jennings,Andrew Garrett,Matthew Kim,Kevin Thomas,Adam Martinez,Bruce Ramirez,Antanas Žukauskas,Dieter Kruschwitz,Daniel Carter,Gustav Pedersen,Andrea Casarin,Dylan Dickinson,Kristjan Sillisdóttir,Arthur Carter,Finbar McKelvey,John Duke
10_5,Standard Event #3,Standard Event #3,Leslie Moore,Patrick Schmitz,Andrew Collins,Conor Lee,Mark Estrada,Juan Bird,Kaur Tamm,Diogo Freitas,Charles Leonard,John Krause,Nathaniel Dunn,Stephen Johnson,Kelly Ward,Anthony Reid,Steven Keller,Oliver Smith,David Morris,Darius Grimes,Kevin Kent,Michael Jäkel,Callum Davison,Joe Heath,Darrell Baker,Nathan Banks,Joe Hayes,Shane Harris,David Garcia,Shaun Wilson,Bjorn Kjóisdóttir,Harry Miles,Chad Jones,Randall Miller,Kyle Morales,Michael Johnson,Daniel Wilson,Luke Clark,Michael Gordon,Adam Franco,Miguel Loyola,Constantin Albu,Jeffery Williams,Evan Dasey,Francisco Guajardo,Manuel Manning,Michael Russell,Michael Davis,Ronald Wilcox,Tyler Maughan,Timo Varis,Stephen Schwartz,Magnus Kristoffersen,Dennis Lyons,Bernard Dubois,Terry Nguyen,Duncan Wood,Brandon Baker,Daniel Carter,Mark Perry,Terence Heaney,Travis Callahan,Dieter Kruschwitz,Karoly Molnár,Danny Taylor,William Ortega,Ronald Lambrechts,Anders Thomsen,Jason Clark,Tomas Brožová,Christian Henry,Damon Peterson,Adam Milmo,John Duke,Aaron Doyle,Kevin Thomas,Peter Steiger,Ferenc Nagy,Bryan Lennon,Dominic Wong,William Hernandez,James Dennis,Jeremy Freeman,Owen Taylor,Martin Simmons,Ethan Cox,Daniel Whitaker,Joshua Church,Pavel Marošová,Ryan Hubbard,Antanas Žukauskas,Elliott Phillips,Milan Paľovčík,Eric Welch,Abdul Shaw,Wolfgang Misicher,Craig Smith,Mariusz Machowicz,Bryan Washington,Zachary Patel,Aidan Reardon,Sean Taylor,Kyle Cole,Stanley Harrison,Christian Henry,George Leblanc,Kevin Hensley,Magnus Svavarsson,Michael Crawford,Gustav Pedersen,Andreas Weinhage,Billy Williams,Jon Steinþórsson,Pavel Čermák,Jesse West,Macauley McCluskey,James Jennings,David Munoz,Russell Warner,Scott Watson,Vasile Tomescu,Jorge Daniels,Dale Howell,Michael Sorgatz,Constantin Stănescu,Philip Hall,Antonio Tanzini,Brian Mccullough,Andrew Garrett,Jeffrey Alexander,Bruce Ramirez,Huynh Phạm,Nicolae Cristea,Luis Arranz,Daniel Cruz,Finbar McKelvey,Andrea Casarin,Michael Carrillo,Jonathan Walters,Steven King,Josh Boyce,Jose Lucero,Arthur Carter,Budi Mansur,Dylan Dickinson,Vaclav Urban,Kristjan Sillisdóttir,Adam Martinez,Matthew Kim,Callum Jones,Joe Ross,William McNeely
10_6,Standard Event #6,Standard Event #6,Daniel Whitaker,Mark Perry,Conor Lee,Adam Franco,Michael Carrillo,Bryan Lennon,Jesse West,Martin Simmons,Constantin Albu,Shane Harris,Oliver Smith,Andrew Collins,Mark Estrada,Darrell Baker,Tomas Brožová,Andrew Garrett,Terry Nguyen,Patrick Schmitz,Christian Henry,Kyle Morales,Stephen Schwartz,Ryan Hubbard,Kevin Thomas,Stephen Johnson,Daniel Wilson,Timo Varis,Ethan Cox,David Garcia,Steven Keller,Nathan Banks,Owen Taylor,Joe Heath,Jeffery Williams,Bruce Ramirez,Milan Paľovčík,Abdul Shaw,Eric Welch,Travis Callahan,Wolfgang Misicher,Danny Taylor,Miguel Loyola,Andreas Weinhage,Terence Heaney,Randall Miller,Manuel Manning,Brandon Baker,Philip Hall,Pavel Marošová,Michael Russell,Vasile Tomescu,Kelly Ward,Zachary Patel,Darius Grimes,Christian Henry,Bjorn Kjóisdóttir,Karoly Molnár,Evan Dasey,Callum Davison,Dale Howell,Aaron Doyle,Bryan Washington,Shaun Wilson,Dominic Wong,Tyler Maughan,Francisco Guajardo,Constantin Stănescu,Joe Ross,Stanley Harrison,James Dennis,Jorge Daniels,James Jennings,Leslie Moore,Harry Miles,Luis Arranz,Pavel Čermák,Josh Boyce,Scott Watson,Michael Jäkel,Steven King,Michael Gordon,Magnus Kristoffersen,Finbar McKelvey,Vaclav Urban,Brian Mccullough,Kaur Tamm,Billy Williams,Luke Clark,Juan Bird,Michael Davis,Michael Crawford,Kyle Cole,Aidan Reardon,Duncan Wood,Huynh Phạm,Macauley McCluskey,Kevin Kent,Dennis Lyons,Joe Hayes,Jeffrey Alexander,Bernard Dubois,Mariusz Machowicz,Nicolae Cristea,Charles Leonard,Antanas Žukauskas,Diogo Freitas,Dieter Kruschwitz,Anthony Reid,Daniel Carter,Elliott Phillips,Jonathan Walters,Damon Peterson,Michael Johnson,Magnus Svavarsson,Michael Sorgatz,Ronald Wilcox,Jeremy Freeman,Daniel Cruz,Ferenc Nagy,Peter Steiger,John Duke,Anders Thomsen,Adam Milmo,David Morris,Sean Taylor,Chad Jones,Callum Jones,Craig Smith,William Ortega,Arthur Carter,Joshua Church,George Leblanc,William Hernandez,David Munoz,Nathaniel Dunn,Jason Clark,Andrea Casarin,Russell Warner,John Krause,Matthew Kim,Kevin Hensley,Ronald Lambrechts,Kristjan Sillisdóttir,Jose Lucero,Jon Steinþórsson,Adam Martinez,Budi Mansur,Gustav Pedersen,Dylan Dickinson,Antonio Tanzini,William McNeely
10_7,Standard Invitational #3,Standard Invitational #3,Aaron Doyle,Danny Taylor,Ryan Hubbard,Craig Smith,Kaur Tamm,David Morris,Martin Simmons,Daniel Whitaker,Manuel Manning,Mark Estrada,Chad Jones,Constantin Albu,Brian Mccullough,Vasile Tomescu,Mariusz Machowicz,Macauley McCluskey,James Jennings,Stephen Schwartz,Joe Hayes,Miguel Loyola,Kevin Thomas,Kelly Ward,Antanas Žukauskas,Michael Davis,Luke Clark,Jeffrey Alexander,Michael Johnson,Michael Russell,William Hernandez,Jose Lucero,Kyle Morales,Peter Steiger,Timo Varis,Josh Boyce,Francisco Guajardo,Darrell Baker,Brandon Baker,Billy Williams,Oliver Smith,Michael Carrillo,Jon Steinþórsson,Dominic Wong,Kevin Kent,Steven Keller,Leslie Moore,Kyle Cole,Sean Taylor,Ferenc Nagy,Daniel Cruz,Jeffery Williams,Bjorn Kjóisdóttir,Andrew Garrett,Andreas Weinhage,Jorge Daniels,William Ortega,Dale Howell,Randall Miller,Juan Bird,Stephen Johnson,Arthur Carter,Abdul Shaw,Aidan Reardon,Bernard Dubois,Eric Welch,Stanley Harrison,Constantin Stănescu,Jesse West,Zachary Patel,Elliott Phillips,Anders Thomsen,Ronald Wilcox,Diogo Freitas,Charles Leonard,Ronald Lambrechts,Patrick Schmitz,Pavel Marošová,Conor Lee,Luis Arranz,Karoly Molnár,Philip Hall,Daniel Wilson,Mark Perry,Christian Henry,Scott Watson,Michael Gordon,Ethan Cox,Jonathan Walters,Russell Warner,Damon Peterson,Duncan Wood,Vaclav Urban,Darius Grimes,Bryan Washington,Nathan Banks,Terry Nguyen,Dennis Lyons,Kevin Hensley,Andrew Collins,Joe Heath,Christian Henry,Magnus Svavarsson,Pavel Čermák,Terence Heaney,Milan Paľovčík,Joshua Church,John Duke,Michael Crawford,James Dennis,David Munoz,Jason Clark,Kristjan Sillisdóttir,Bryan Lennon,Adam Milmo,Dieter Kruschwitz,Callum Davison,Daniel Carter,Bruce Ramirez,Travis Callahan,Gustav Pedersen,Huynh Phạm,Shane Harris,Michael Jäkel,Jeremy Freeman,John Krause,Nathaniel Dunn,Evan Dasey,Harry Miles,Antonio Tanzini,Finbar McKelvey,Dylan Dickinson,Nicolae Cristea,Anthony Reid,Tyler Maughan,Matthew Kim,George Leblanc,Adam Franco,Steven King,Budi Mansur,Michael Sorgatz,Magnus Kristoffersen,Tomas Brožová,Adam Martinez,Joe Ross,Owen Taylor,Shaun Wilson,Andrea Casarin,David Garcia,Wolfgang Misicher,William McNeely,Callum Jones
10_8,Standard Event #8,Standard Event #8,David Munoz,Peter Steiger,Diogo Freitas,Brandon Baker,Adam Franco,Conor Lee,Michael Davis,Steven Keller,Aidan Reardon,Jesse West,Kevin Kent,Jeffery Williams,Martin Simmons,Kevin Thomas,Billy Williams,Bjorn Kjóisdóttir,Abdul Shaw,James Dennis,Travis Callahan,Mark Estrada,Ryan Hubbard,Darius Grimes,Ethan Cox,Leslie Moore,Chad Jones,Juan Bird,Kevin Hensley,Nathaniel Dunn,Michael Carrillo,Christian Henry,Bryan Washington,Oliver Smith,Anthony Reid,Luke Clark,Adam Milmo,Randall Miller,Brian Mccullough,Patrick Schmitz,John Krause,Daniel Cruz,Charles Leonard,Craig Smith,Daniel Carter,Michael Johnson,Constantin Albu,Duncan Wood,Dennis Lyons,Jonathan Walters,Eric Welch,Anders Thomsen,Elliott Phillips,Tyler Maughan,Joe Heath,Philip Hall,Shane Harris,Michael Crawford,Danny Taylor,Christian Henry,Daniel Wilson,James Jennings,David Garcia,Ronald Lambrechts,Zachary Patel,Jeffrey Alexander,Jose Lucero,Stanley Harrison,Tomas Brožová,William Ortega,Timo Varis,Bryan Lennon,Scott Watson,Constantin Stănescu,Mark Perry,Shaun Wilson,Dylan Dickinson,Karoly Molnár,Jorge Daniels,Jeremy Freeman,Dominic Wong,Josh Boyce,Terence Heaney,Russell Warner,Michael Jäkel,Stephen Johnson,Michael Gordon,Antanas Žukauskas,John Duke,Francisco Guajardo,Andrew Collins,Huynh Phạm,Darrell Baker,Jason Clark,Kyle Morales,Miguel Loyola,Nicolae Cristea,Manuel Manning,Budi Mansur,Bruce Ramirez,Terry Nguyen,Dale Howell,Sean Taylor,Vasile Tomescu,Magnus Kristoffersen,Damon Peterson,George Leblanc,Kelly Ward,Owen Taylor,Andreas Weinhage,Mariusz Machowicz,Callum Davison,Harry Miles,Luis Arranz,Daniel Whitaker,Aaron Doyle,David Morris,Bernard Dubois,Finbar McKelvey,Milan Paľovčík,Pavel Čermák,Pavel Marošová,Evan Dasey,William Hernandez,Joshua Church,Antonio Tanzini,Michael Sorgatz,Adam Martinez,Kristjan Sillisdóttir,Jon Steinþórsson,Andrew Garrett,Andrea Casarin,Nathan Banks,Joe Hayes,Macauley McCluskey,Vaclav Urban,Ferenc Nagy,Joe Ross,Kyle Cole,Callum Jones,Ronald Wilcox,Stephen Schwartz,Michael Russell,William McNeely,Steven King,Kaur Tamm,Arthur Carter,Gustav Pedersen,Wolfgang Misicher,Matthew Kim,Magnus Svavarsson,Dieter Kruschwitz
10_9,Signature Event #2,Signature Event #2,Christian Henry,Peter Steiger,John Krause,Michael Johnson,Kaur Tamm,Elliott Phillips,Stephen Schwartz,Mariusz Machowicz,Mark Estrada,Michael Carrillo,Joshua Church,Manuel Manning,Luke Clark,Kevin Kent,Bryan Washington,Joe Hayes,Michael Gordon,Zachary Patel,Michael Davis,Constantin Albu,Jon Steinþórsson,Craig Smith,Chad Jones,Damon Peterson,Pavel Marošová,Kyle Morales,David Munoz,Darrell Baker,Dennis Lyons,Timo Varis,Leslie Moore,Vaclav Urban,Jonathan Walters,Bruce Ramirez,Bryan Lennon,Macauley McCluskey,Francisco Guajardo,Anthony Reid,Adam Franco,Eric Welch,Joe Heath,Andrew Collins,Kevin Thomas,Jesse West,Aaron Doyle,Darius Grimes,Daniel Whitaker,Constantin Stănescu,Michael Russell,Tomas Brožová,Jose Lucero,Pavel Čermák,Jeffery Williams,Vasile Tomescu,Nathan Banks,Josh Boyce,Huynh Phạm,Ryan Hubbard,Philip Hall,Danny Taylor,Magnus Kristoffersen,Diogo Freitas,Patrick Schmitz,Daniel Wilson,Billy Williams,Conor Lee,Juan Bird,Miguel Loyola,Dale Howell,Milan Paľovčík,Michael Jäkel,Brian Mccullough,James Dennis,Oliver Smith,Harry Miles,Randall Miller,David Garcia,Jeremy Freeman,Nicolae Cristea,Scott Watson,Kelly Ward,Jason Clark,Dylan Dickinson,Duncan Wood,Daniel Carter,Jorge Daniels,Kristjan Sillisdóttir,Ronald Wilcox,Antonio Tanzini,Abdul Shaw,James Jennings,Karoly Molnár,Russell Warner,Finbar McKelvey,Luis Arranz,Ethan Cox,Michael Crawford,Adam Milmo,Brandon Baker,Martin Simmons,Terry Nguyen,Ferenc Nagy,Tyler Maughan,Andreas Weinhage,William Hernandez,Mark Perry,Owen Taylor,Arthur Carter,Bernard Dubois,Stanley Harrison,Antanas Žukauskas,Christian Henry,Charles Leonard,Callum Davison,Bjorn Kjóisdóttir,David Morris,Callum Jones,Shane Harris,Joe Ross,Stephen Johnson,Travis Callahan,John Duke,Andrew Garrett,Michael Sorgatz,Dominic Wong,Kyle Cole,Nathaniel Dunn,Kevin Hensley,Anders Thomsen,Sean Taylor,Daniel Cruz,William Ortega,George Leblanc,Steven Keller,Magnus Svavarsson,Shaun Wilson,Andrea Casarin,Evan Dasey,Aidan Reardon,Ronald Lambrechts,Budi Mansur,Jeffrey Alexander,Terence Heaney,Steven King,Wolfgang Misicher,Dieter Kruschwitz,Gustav Pedersen,Adam Martinez,Matthew Kim,William McNeely
10_10,Mini Major,Mini Major,Michael Sorgatz,John Krause,Craig Smith,Anthony Reid,Dale Howell,Antanas Žukauskas,Darius Grimes,Bryan Washington,Andrew Collins,Diogo Freitas,Pavel Čermák,Milan Paľovčík,Timo Varis,Jeremy Freeman,Shaun Wilson,Danny Taylor,Mark Estrada,Zachary Patel,Brandon Baker,Damon Peterson,Ethan Cox,Kyle Morales,Patrick Schmitz,Daniel Whitaker,David Morris,Constantin Albu,Chad Jones,Vasile Tomescu,Sean Taylor,Kevin Thomas,Leslie Moore,Manuel Manning,Steven Keller,Joshua Church,Darrell Baker,Nathan Banks,Tomas Brožová,Terry Nguyen,Peter Steiger,Aidan Reardon,Jeffery Williams,Constantin Stănescu,Anders Thomsen,George Leblanc,Mariusz Machowicz,Terence Heaney,Oliver Smith,Budi Mansur,Ryan Hubbard,Adam Franco,Luke Clark,Macauley McCluskey,Duncan Wood,Michael Johnson,Bruce Ramirez,Elliott Phillips,Charles Leonard,Philip Hall,Nathaniel Dunn,Juan Bird,David Munoz,Conor Lee,Christian Henry,Aaron Doyle,Michael Crawford,Dennis Lyons,Harry Miles,Brian Mccullough,Jose Lucero,Kevin Kent,Owen Taylor,Kelly Ward,Michael Carrillo,Kaur Tamm,Ronald Wilcox,Michael Jäkel,Andreas Weinhage,Francisco Guajardo,Michael Gordon,Billy Williams,Michael Davis,Callum Jones,Jonathan Walters,Adam Milmo,Arthur Carter,Jason Clark,Luis Arranz,Abdul Shaw,John Duke,Eric Welch,Gustav Pedersen,Joe Heath,Scott Watson,Bjorn Kjóisdóttir,Evan Dasey,Russell Warner,Dylan Dickinson,Randall Miller,Daniel Cruz,Michael Russell,Miguel Loyola,Travis Callahan,Shane Harris,Vaclav Urban,Kevin Hensley,Tyler Maughan,Jeffrey Alexander,Karoly Molnár,Stephen Schwartz,Josh Boyce,Bryan Lennon,William Ortega,Stephen Johnson,Jesse West,Jorge Daniels,Martin Simmons,Magnus Svavarsson,James Dennis,Huynh Phạm,Callum Davison,Kristjan Sillisdóttir,Daniel Carter,Magnus Kristoffersen,Joe Hayes,Ronald Lambrechts,Steven King,Kyle Cole,David Garcia,Christian Henry,Daniel Wilson,Matthew Kim,Pavel Marošová,Ferenc Nagy,Mark Perry,James Jennings,Andrew Garrett,William Hernandez,Stanley Harrison,Jon Steinþórsson,Dominic Wong,Adam Martinez,Wolfgang Misicher,Nicolae Cristea,Bernard Dubois,Finbar McKelvey,Andrea Casarin,Joe Ross,Antonio Tanzini,Dieter Kruschwitz,William McNeely
