season_event,event_type,event_name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
3_1,Signature Event #1,Signature Event #1,Harry Miles,Ethan Cox,Leslie Moore,Mark Estrada,Francisco Guajardo,Austin Love,Karoly Molnár,Jesse West,Aaron Doyle,Sean Taylor,Vasile Tomescu,Aidan Reardon,Jose Lucero,Duncan Wood,Kaur Tamm,David Munoz,Zachary Patel,Frank Cole,Timo Varis,Mark Perry,Malcolm Chambers,Constantin Albu,Dennis Lyons,Bjorn Kjóisdóttir,Darius Grimes,Steven Keller,Michael Johnson,David Johnston,Terence Heaney,Kevin Kent,Manuel Manning,Widodo Ramadan,David Ruiz,Erik Gonzalez,Thomas Rogers,Simon Wilson,Kyle Morales,David Kennedy,Michael Davis,Casey Gutierrez,Jonas Gailius,Brandon Silva,Ryan Hubbard,Adam Franco,Dillon Stanley,Damian McGinty,Luke Clark,Daniel Whitaker,Kevin Roberts,Damon Peterson,James Dennis,Billy Williams,Joe Heath,Joseph Black,Timothy Hamilton,Trevor Booker,Nathan Banks,Jonathan Thompson,Nuno Antunes,Travis Callahan,Patrick Schmitz,Deaglan Brannelly,Callum Davison,Luis Arranz,Jay Roberts,Tomasz Cegła,Luis Fuertes,Jose Godoy,Josh Boyce,Ante Jerič,Eric Walters,James Jennings,Chad Jones,Edgars Turiņš,Robert Lee,Robert Jones,Anthony Reid,Milan Paľovčík,Michael Nash,Cole Smith,Tyler Maughan,Christopher Dudley,Klaus Frühwirth,Duane Wood,Charles Leonard,Adam Milmo,Jeffery Williams,Elliott Phillips,Martin Simmons,Kieran Day,Michael Gordon,Kenneth Miller,Randall Miller,Jan Beeckman,Craig Smith,Andrew Collins,William Ortega,Diogo Freitas,Paul Flores,Piet Vanneste,Pierre Lebon,Walter Randolph,Jozsef Horváth,Gareth Saunders,Milan Krúpová,Philippe Toussaint,Dylan Edwards,Jeremy Freeman,Michael Brooks,Brian Charles,Michael Crawford,Peter Schramm,Steven Montgomery,Craig Jackson,Tomas Brožová,Logan Odonnell,Peter Cook,Andre White,Allen Weiss,Michael Silva,Reuben Comber,Paulo Souza,Michael Daniel,Nicholas Taylor,Kaur Lember,Samuel Gates,Satoshi Inoue,Jesse Daugherty,Kirk McDade,Michael Wenger,Jose Zimmerman,Charles Mosley,Drew Rangel,Bernard Godfrey,Carlos Pedrero,Jordan Evans,Philippe Cordier,Robert Rodriguez,Jonathan Johnson,Kazuki Tanaka,Sean-Paul Hosey,Karl Svensson,Brian Martinez,Kazys Nausėda,Dean Taylor,Stephen Smith,Adam Bryant,Hendro Kurniawan,Thomas Black,Manfred Hahn
3_2,Standard Event #2,Standard Event #2,Austin Love,Luke Clark,Constantin Albu,David Munoz,Mark Perry,Mark Estrada,Darius Grimes,Karoly Molnár,Michael Johnson,Jeffery Williams,Travis Callahan,Widodo Ramadan,Patrick Schmitz,Vasile Tomescu,Josh Boyce,Jesse West,Francisco Guajardo,Callum Davison,Anthony Reid,James Dennis,Chad Jones,Kyle Morales,Martin Simmons,Harry Miles,Adam Milmo,Simon Wilson,Ethan Cox,Kaur Tamm,Klaus Frühwirth,Tomasz Cegła,Diogo Freitas,Gareth Saunders,Kevin Roberts,Aidan Reardon,Craig Jackson,Andrew Collins,Steven Keller,Jozsef Horváth,Tomas Brožová,Timo Varis,Kieran Day,Jonas Gailius,David Johnston,Ante Jerič,Charles Leonard,Erik Gonzalez,Bjorn Kjóisdóttir,Logan Odonnell,Deaglan Brannelly,Damon Peterson,Luis Fuertes,Nathan Banks,Daniel Whitaker,Brandon Silva,Edgars Turiņš,Reuben Comber,Kevin Kent,Ryan Hubbard,Leslie Moore,Dylan Edwards,Christopher Dudley,Carlos Pedrero,Milan Paľovčík,Aaron Doyle,Billy Williams,David Ruiz,Tyler Maughan,Timothy Hamilton,Joe Heath,Manuel Manning,Malcolm Chambers,David Kennedy,Elliott Phillips,William Ortega,Robert Lee,Damian McGinty,Allen Weiss,Dennis Lyons,Jeremy Freeman,Walter Randolph,Jose Lucero,Trevor Booker,Samuel Gates,Sean Taylor,Michael Gordon,Randall Miller,Casey Gutierrez,Craig Smith,Terence Heaney,Peter Cook,Robert Jones,Dillon Stanley,Jan Beeckman,Piet Vanneste,Jesse Daugherty,Jonathan Thompson,Michael Davis,Thomas Rogers,Zachary Patel,Luis Arranz,Duane Wood,Jordan Evans,Hendro Kurniawan,Karl Svensson,Nuno Antunes,Steven Montgomery,Frank Cole,Cole Smith,Adam Franco,Michael Wenger,Duncan Wood,Michael Crawford,Nicholas Taylor,Michael Brooks,Michael Nash,Brian Charles,Jay Roberts,Paulo Souza,Milan Krúpová,Joseph Black,James Jennings,Adam Bryant,Kazuki Tanaka,Pierre Lebon,Andre White,Kaur Lember,Thomas Black,Michael Daniel,Peter Schramm,Dean Taylor,Jose Godoy,Satoshi Inoue,Brian Martinez,Sean-Paul Hosey,Eric Walters,Michael Silva,Bernard Godfrey,Philippe Cordier,Robert Rodriguez,Paul Flores,Philippe Toussaint,Kazys Nausėda,Drew Rangel,Kenneth Miller,Charles Mosley,Jonathan Johnson,Jose Zimmerman,Stephen Smith,Kirk McDade,Manfred Hahn
3_3,Standard Invitational #1,Standard Invitational #1,Bjorn Kjóisdóttir,Mark Estrada,Ethan Cox,Leslie Moore,Chad Jones,Karoly Molnár,Austin Love,Aidan Reardon,Travis Callahan,Charles Leonard,Kaur Tamm,Andrew Collins,Michael Johnson,David Kennedy,William Ortega,Luke Clark,Gareth Saunders,Constantin Albu,Jesse West,Thomas Rogers,Kevin Kent,Deaglan Brannelly,Vasile Tomescu,Duncan Wood,Anthony Reid,Klaus Frühwirth,Luis Arranz,Manuel Manning,Casey Gutierrez,Jozsef Horváth,Terence Heaney,Daniel Whitaker,Steven Keller,Randall Miller,Patrick Schmitz,Joe Heath,Craig Jackson,Michael Davis,Peter Cook,Aaron Doyle,Malcolm Chambers,Callum Davison,Christopher Dudley,David Munoz,Frank Cole,Tomasz Cegła,David Johnston,Jose Godoy,Dillon Stanley,James Jennings,Milan Paľovčík,Darius Grimes,Widodo Ramadan,Nicholas Taylor,Mark Perry,Sean Taylor,James Dennis,Simon Wilson,Jeremy Freeman,Billy Williams,Michael Gordon,Jose Lucero,Zachary Patel,David Ruiz,Timo Varis,Logan Odonnell,Josh Boyce,Martin Simmons,Nuno Antunes,Robert Jones,Jonathan Johnson,Harry Miles,Ante Jerič,Jonathan Thompson,Cole Smith,Jonas Gailius,Elliott Phillips,Adam Milmo,Robert Lee,Reuben Comber,Edgars Turiņš,Allen Weiss,Carlos Pedrero,Michael Crawford,Damon Peterson,Eric Walters,Karl Svensson,Nathan Banks,Francisco Guajardo,Jordan Evans,Craig Smith,Dennis Lyons,Joseph Black,Michael Daniel,Steven Montgomery,Samuel Gates,Luis Fuertes,Jeffery Williams,Trevor Booker,Diogo Freitas,Kazuki Tanaka,Andre White,Kieran Day,Tomas Brožová,Adam Franco,Michael Brooks,Jay Roberts,Hendro Kurniawan,Erik Gonzalez,Philippe Cordier,Paulo Souza,Kyle Morales,Kevin Roberts,Ryan Hubbard,Kazys Nausėda,Tyler Maughan,Kirk McDade,Milan Krúpová,Satoshi Inoue,Michael Wenger,Brandon Silva,Philippe Toussaint,Timothy Hamilton,Damian McGinty,Pierre Lebon,Dylan Edwards,Charles Mosley,Jan Beeckman,Kaur Lember,Michael Nash,Brian Martinez,Duane Wood,Manfred Hahn,Paul Flores,Adam Bryant,Brian Charles,Walter Randolph,Jesse Daugherty,Michael Silva,Kenneth Miller,Sean-Paul Hosey,Bernard Godfrey,Jose Zimmerman,Piet Vanneste,Robert Rodriguez,Drew Rangel,Dean Taylor,Stephen Smith,Peter Schramm,Thomas Black
3_4,Standard Event #4,Standard Event #4,Kevin Kent,William Ortega,Karoly Molnár,Manuel Manning,Sean Taylor,Jesse West,Patrick Schmitz,Martin Simmons,Terence Heaney,Ethan Cox,Constantin Albu,Deaglan Brannelly,James Dennis,Leslie Moore,Tomas Brožová,Samuel Gates,Casey Gutierrez,Travis Callahan,Aaron Doyle,Duncan Wood,Nathan Banks,James Jennings,Jozsef Horváth,Erik Gonzalez,Vasile Tomescu,David Johnston,Kaur Tamm,Joe Heath,Dillon Stanley,Mark Perry,Thomas Rogers,Austin Love,Daniel Whitaker,Ryan Hubbard,Robert Jones,Jose Lucero,Harry Miles,Andrew Collins,Jonathan Thompson,Gareth Saunders,Damon Peterson,Kieran Day,Malcolm Chambers,Luke Clark,Bernard Godfrey,Josh Boyce,Andre White,Billy Williams,Michael Nash,Adam Milmo,Chad Jones,Mark Estrada,Robert Lee,Callum Davison,Bjorn Kjóisdóttir,Nuno Antunes,Timothy Hamilton,Simon Wilson,Satoshi Inoue,Jeremy Freeman,Duane Wood,Christopher Dudley,Nicholas Taylor,Dylan Edwards,David Kennedy,Randall Miller,Francisco Guajardo,Jesse Daugherty,Michael Gordon,Michael Davis,Elliott Phillips,Tyler Maughan,Adam Franco,Jose Godoy,Jonathan Johnson,Piet Vanneste,Paul Flores,Kevin Roberts,Michael Crawford,Anthony Reid,Eric Walters,Karl Svensson,Jordan Evans,Luis Arranz,Craig Smith,Darius Grimes,Klaus Frühwirth,Frank Cole,Michael Wenger,Walter Randolph,David Munoz,Philippe Toussaint,Diogo Freitas,Jeffery Williams,Aidan Reardon,Reuben Comber,Peter Cook,Widodo Ramadan,Ante Jerič,Cole Smith,Edgars Turiņš,Michael Johnson,Joseph Black,Timo Varis,Craig Jackson,Tomasz Cegła,Brandon Silva,Logan Odonnell,Damian McGinty,Charles Leonard,Kenneth Miller,Jay Roberts,Trevor Booker,Kyle Morales,Jan Beeckman,Brian Charles,Zachary Patel,Steven Keller,Pierre Lebon,Milan Paľovčík,David Ruiz,Steven Montgomery,Dennis Lyons,Luis Fuertes,Kazys Nausėda,Michael Brooks,Charles Mosley,Hendro Kurniawan,Drew Rangel,Milan Krúpová,Carlos Pedrero,Allen Weiss,Jonas Gailius,Kaur Lember,Dean Taylor,Adam Bryant,Philippe Cordier,Michael Daniel,Sean-Paul Hosey,Manfred Hahn,Jose Zimmerman,Kazuki Tanaka,Peter Schramm,Paulo Souza,Robert Rodriguez,Brian Martinez,Kirk McDade,Michael Silva,Thomas Black,Stephen Smith
3_5,Standard Event #3,Standard Event #3,Sean Taylor,Constantin Albu,Travis Callahan,Harry Miles,Josh Boyce,David Munoz,Francisco Guajardo,Mark Perry,Austin Love,Patrick Schmitz,Cole Smith,James Dennis,Michael Johnson,Bjorn Kjóisdóttir,Jesse West,Luke Clark,Jeffery Williams,Damon Peterson,Daniel Whitaker,Kyle Morales,Jeremy Freeman,Aidan Reardon,Ryan Hubbard,Kieran Day,Elliott Phillips,Vasile Tomescu,Widodo Ramadan,Timo Varis,Michael Davis,David Kennedy,Leslie Moore,Brandon Silva,Darius Grimes,Milan Krúpová,Michael Gordon,David Johnston,Deaglan Brannelly,Robert Lee,Tomasz Cegła,Michael Wenger,Adam Franco,Nathan Banks,Nicholas Taylor,Chad Jones,Manuel Manning,Peter Cook,Michael Nash,Mark Estrada,Tomas Brožová,Kevin Kent,Aaron Doyle,James Jennings,Duane Wood,Erik Gonzalez,William Ortega,Kaur Tamm,Zachary Patel,Frank Cole,Jonathan Thompson,Bernard Godfrey,Milan Paľovčík,Craig Jackson,Diogo Freitas,Gareth Saunders,Malcolm Chambers,Karoly Molnár,Ethan Cox,Klaus Frühwirth,Logan Odonnell,Charles Leonard,Joe Heath,Eric Walters,Terence Heaney,Michael Daniel,Nuno Antunes,Trevor Booker,Joseph Black,David Ruiz,Satoshi Inoue,Robert Jones,Steven Keller,Thomas Rogers,Dillon Stanley,Billy Williams,Walter Randolph,Casey Gutierrez,Dennis Lyons,Christopher Dudley,Callum Davison,Dylan Edwards,Luis Fuertes,Martin Simmons,Paulo Souza,Anthony Reid,Randall Miller,Duncan Wood,Jose Lucero,Tyler Maughan,Andrew Collins,Michael Crawford,Piet Vanneste,Simon Wilson,Ante Jerič,Timothy Hamilton,Stephen Smith,Paul Flores,Jonathan Johnson,Adam Milmo,Brian Charles,Luis Arranz,Jay Roberts,Andre White,Craig Smith,Karl Svensson,Edgars Turiņš,Jonas Gailius,Kazuki Tanaka,Jozsef Horváth,Philippe Cordier,Damian McGinty,Samuel Gates,Jan Beeckman,Carlos Pedrero,Dean Taylor,Reuben Comber,Steven Montgomery,Jose Godoy,Allen Weiss,Kevin Roberts,Michael Brooks,Pierre Lebon,Adam Bryant,Robert Rodriguez,Jesse Daugherty,Thomas Black,Michael Silva,Kaur Lember,Jordan Evans,Kenneth Miller,Sean-Paul Hosey,Brian Martinez,Philippe Toussaint,Jose Zimmerman,Manfred Hahn,Charles Mosley,Kirk McDade,Kazys Nausėda,Peter Schramm,Hendro Kurniawan,Drew Rangel
3_6,Standard Event #6,Standard Event #6,Ethan Cox,Vasile Tomescu,Sean Taylor,Jesse West,Kevin Kent,Josh Boyce,Francisco Guajardo,Constantin Albu,David Munoz,Adam Franco,Austin Love,Milan Paľovčík,Craig Smith,Patrick Schmitz,Chad Jones,Zachary Patel,Jose Lucero,Joe Heath,Luis Arranz,Jeremy Freeman,Randall Miller,Peter Cook,Luke Clark,Harry Miles,Cole Smith,Steven Keller,Joseph Black,Tyler Maughan,Manuel Manning,Samuel Gates,Martin Simmons,Diogo Freitas,Trevor Booker,Travis Callahan,Kyle Morales,Robert Jones,Michael Gordon,Ante Jerič,Ryan Hubbard,Mark Perry,Milan Krúpová,Luis Fuertes,Aidan Reardon,Michael Davis,David Kennedy,Thomas Rogers,Kaur Lember,Anthony Reid,Bjorn Kjóisdóttir,Tomas Brožová,Elliott Phillips,Darius Grimes,Michael Wenger,Timothy Hamilton,Tomasz Cegła,David Johnston,Duncan Wood,Widodo Ramadan,Frank Cole,Jozsef Horváth,Karoly Molnár,Klaus Frühwirth,Terence Heaney,Charles Leonard,Mark Estrada,Nuno Antunes,Logan Odonnell,Allen Weiss,Jeffery Williams,William Ortega,Andre White,Billy Williams,Brandon Silva,Nicholas Taylor,Michael Johnson,Daniel Whitaker,Callum Davison,Damon Peterson,Leslie Moore,Simon Wilson,Craig Jackson,Adam Milmo,Jordan Evans,Michael Crawford,James Dennis,Casey Gutierrez,Aaron Doyle,Robert Lee,Kevin Roberts,Walter Randolph,David Ruiz,Edgars Turiņš,Malcolm Chambers,Dennis Lyons,Andrew Collins,Philippe Cordier,Kieran Day,Bernard Godfrey,Deaglan Brannelly,Duane Wood,Michael Brooks,Erik Gonzalez,Timo Varis,Kaur Tamm,Christopher Dudley,Dylan Edwards,Gareth Saunders,Nathan Banks,Stephen Smith,Paul Flores,Philippe Toussaint,James Jennings,Michael Nash,Dillon Stanley,Kazuki Tanaka,Jose Godoy,Karl Svensson,Damian McGinty,Paulo Souza,Jonathan Thompson,Drew Rangel,Reuben Comber,Kenneth Miller,Jonas Gailius,Jan Beeckman,Jay Roberts,Kirk McDade,Carlos Pedrero,Jesse Daugherty,Satoshi Inoue,Michael Silva,Eric Walters,Michael Daniel,Piet Vanneste,Pierre Lebon,Charles Mosley,Brian Charles,Peter Schramm,Manfred Hahn,Steven Montgomery,Adam Bryant,Hendro Kurniawan,Jonathan Johnson,Kazys Nausėda,Brian Martinez,Sean-Paul Hosey,Jose Zimmerman,Dean Taylor,Thomas Black,Robert Rodriguez
3_7,Standard Invitational #3,Standard Invitational #3,Darius Grimes,Luke Clark,Mark Estrada,Ethan Cox,Diogo Freitas,Travis Callahan,Francisco Guajardo,Anthony Reid,Austin Love,Michael Gordon,Adam Milmo,Cole Smith,Randall Miller,Josh Boyce,Kevin Kent,Manuel Manning,Craig Smith,Bjorn Kjóisdóttir,Elliott Phillips,David Munoz,Widodo Ramadan,Terence Heaney,Kaur Tamm,Jay Roberts,Joe Heath,Mark Perry,Robert Lee,Jozsef Horváth,Robert Jones,Nathan Banks,Jesse West,Kevin Roberts,Gareth Saunders,David Johnston,Deaglan Brannelly,Nuno Antunes,Callum Davison,Andre White,Michael Johnson,Thomas Rogers,Vasile Tomescu,Edgars Turiņš,Joseph Black,Steven Keller,William Ortega,Jose Lucero,Chad Jones,Patrick Schmitz,Damon Peterson,Jeremy Freeman,Jeffery Williams,Jonathan Thompson,James Dennis,Timo Varis,Ante Jerič,Constantin Albu,Harry Miles,Kaur Lember,Casey Gutierrez,Leslie Moore,Duncan Wood,Simon Wilson,Eric Walters,Craig Jackson,Sean Taylor,Erik Gonzalez,Michael Crawford,Zachary Patel,Frank Cole,Karoly Molnár,Brandon Silva,Charles Leonard,Christopher Dudley,Malcolm Chambers,Timothy Hamilton,Andrew Collins,Sean-Paul Hosey,Kyle Morales,Kieran Day,Duane Wood,Michael Nash,Dillon Stanley,Klaus Frühwirth,Reuben Comber,Martin Simmons,Peter Cook,Trevor Booker,Aaron Doyle,Allen Weiss,Samuel Gates,Aidan Reardon,Jordan Evans,Jesse Daugherty,Tyler Maughan,Kenneth Miller,Michael Davis,Tomasz Cegła,Ryan Hubbard,Billy Williams,Paul Flores,Jonas Gailius,Adam Franco,Kazuki Tanaka,James Jennings,Kazys Nausėda,Logan Odonnell,Philippe Toussaint,Luis Arranz,Daniel Whitaker,Dennis Lyons,Tomas Brožová,David Kennedy,Milan Paľovčík,Pierre Lebon,Michael Wenger,Peter Schramm,Luis Fuertes,Nicholas Taylor,Jose Godoy,Robert Rodriguez,Satoshi Inoue,Steven Montgomery,David Ruiz,Jan Beeckman,Carlos Pedrero,Brian Charles,Stephen Smith,Milan Krúpová,Damian McGinty,Piet Vanneste,Dylan Edwards,Michael Daniel,Dean Taylor,Jonathan Johnson,Karl Svensson,Walter Randolph,Bernard Godfrey,Michael Brooks,Charles Mosley,Thomas Black,Philippe Cordier,Paulo Souza,Adam Bryant,Brian Martinez,Hendro Kurniawan,Kirk McDade,Manfred Hahn,Jose Zimmerman,Drew Rangel,Michael Silva
3_8,Standard Event #8,Standard Event #8,Constantin Albu,Aidan Reardon,Karoly Molnár,Manuel Manning,Mark Perry,Jose Lucero,Sean Taylor,David Kennedy,Harry Miles,Kaur Tamm,Anthony Reid,Travis Callahan,Bjorn Kjóisdóttir,Malcolm Chambers,Leslie Moore,Michael Crawford,William Ortega,Charles Leonard,Elliott Phillips,Kevin Kent,Robert Lee,Christopher Dudley,Michael Gordon,Michael Davis,Mark Estrada,Andrew Collins,Dillon Stanley,Damon Peterson,Steven Keller,Chad Jones,Deaglan Brannelly,Jeffery Williams,Daniel Whitaker,Damian McGinty,Jay Roberts,Tyler Maughan,Josh Boyce,James Dennis,Samuel Gates,Trevor Booker,Kieran Day,David Munoz,Adam Milmo,Milan Paľovčík,Michael Johnson,Jeremy Freeman,Jonas Gailius,Erik Gonzalez,Frank Cole,Vasile Tomescu,Duncan Wood,Aaron Doyle,Luis Fuertes,Martin Simmons,Cole Smith,Nicholas Taylor,Austin Love,Brandon Silva,Craig Jackson,Terence Heaney,Satoshi Inoue,Milan Krúpová,Ante Jerič,Kyle Morales,Tomasz Cegła,David Johnston,Walter Randolph,Jozsef Horváth,Tomas Brožová,Dennis Lyons,Jonathan Thompson,Adam Franco,Billy Williams,Randall Miller,Ethan Cox,Peter Cook,Jesse West,Nuno Antunes,David Ruiz,Francisco Guajardo,Luke Clark,Michael Brooks,Sean-Paul Hosey,Casey Gutierrez,Thomas Rogers,Patrick Schmitz,Darius Grimes,Kevin Roberts,Eric Walters,Kaur Lember,Zachary Patel,Jose Zimmerman,Widodo Ramadan,Ryan Hubbard,Robert Jones,Edgars Turiņš,Joe Heath,Allen Weiss,Diogo Freitas,Michael Daniel,Philippe Toussaint,Joseph Black,Klaus Frühwirth,Timo Varis,Andre White,Gareth Saunders,Michael Wenger,James Jennings,Callum Davison,Simon Wilson,Philippe Cordier,Craig Smith,Luis Arranz,Karl Svensson,Nathan Banks,Paul Flores,Steven Montgomery,Timothy Hamilton,Michael Nash,Jose Godoy,Peter Schramm,Bernard Godfrey,Kazys Nausėda,Logan Odonnell,Dylan Edwards,Adam Bryant,Dean Taylor,Thomas Black,Duane Wood,Reuben Comber,Jesse Daugherty,Kirk McDade,Brian Charles,Jan Beeckman,Jordan Evans,Piet Vanneste,Jonathan Johnson,Carlos Pedrero,Hendro Kurniawan,Paulo Souza,Charles Mosley,Kenneth Miller,Michael Silva,Kazuki Tanaka,Pierre Lebon,Drew Rangel,Brian Martinez,Manfred Hahn,Stephen Smith,Robert Rodriguez
3_9,Signature Event #2,Signature Event #2,Vasile Tomescu,Luke Clark,Darius Grimes,Constantin Albu,Jesse West,Chad Jones,Manuel Manning,Jeremy Freeman,Michael Davis,Aaron Doyle,Trevor Booker,Mark Perry,Damon Peterson,William Ortega,Joe Heath,Patrick Schmitz,Francisco Guajardo,Charles Leonard,Dennis Lyons,Harry Miles,Widodo Ramadan,Frank Cole,Elliott Phillips,Bjorn Kjóisdóttir,Nuno Antunes,Martin Simmons,Timo Varis,Austin Love,Michael Wenger,Aidan Reardon,Mark Estrada,Craig Smith,David Kennedy,Peter Cook,Tyler Maughan,Karoly Molnár,Randall Miller,Deaglan Brannelly,Jan Beeckman,Edgars Turiņš,Kyle Morales,Terence Heaney,Damian McGinty,Jeffery Williams,Adam Milmo,Michael Crawford,Duncan Wood,Ethan Cox,Tomasz Cegła,David Munoz,Carlos Pedrero,Kaur Tamm,Adam Franco,Timothy Hamilton,Milan Paľovčík,Gareth Saunders,Kevin Kent,Diogo Freitas,James Dennis,Sean Taylor,Michael Johnson,Daniel Whitaker,Jonas Gailius,Andrew Collins,Tomas Brožová,Luis Arranz,David Ruiz,Reuben Comber,Robert Jones,Kieran Day,Travis Callahan,Luis Fuertes,David Johnston,Leslie Moore,James Jennings,Christopher Dudley,Brandon Silva,Malcolm Chambers,Cole Smith,Allen Weiss,Andre White,Robert Lee,Samuel Gates,Simon Wilson,Satoshi Inoue,Walter Randolph,Kazuki Tanaka,Joseph Black,Josh Boyce,Ryan Hubbard,Callum Davison,Erik Gonzalez,Jose Zimmerman,Dylan Edwards,Ante Jerič,Pierre Lebon,Billy Williams,Craig Jackson,Anthony Reid,Jose Lucero,Casey Gutierrez,Logan Odonnell,Michael Gordon,Kevin Roberts,Philippe Cordier,Jesse Daugherty,Dillon Stanley,Sean-Paul Hosey,Steven Keller,Thomas Rogers,Hendro Kurniawan,Jonathan Thompson,Karl Svensson,Kenneth Miller,Nathan Banks,Klaus Frühwirth,Zachary Patel,Kirk McDade,Jozsef Horváth,Michael Nash,Milan Krúpová,Nicholas Taylor,Jonathan Johnson,Dean Taylor,Jay Roberts,Jordan Evans,Paul Flores,Kazys Nausėda,Eric Walters,Drew Rangel,Bernard Godfrey,Duane Wood,Jose Godoy,Michael Daniel,Piet Vanneste,Brian Charles,Kaur Lember,Michael Brooks,Manfred Hahn,Paulo Souza,Philippe Toussaint,Steven Montgomery,Charles Mosley,Stephen Smith,Peter Schramm,Michael Silva,Robert Rodriguez,Brian Martinez,Adam Bryant,Thomas Black
3_10,Mini Major,Continental Championship,Sean Taylor,Travis Callahan,Mark Estrada,Ethan Cox,Harry Miles,Vasile Tomescu,Jose Lucero,Jeffery Williams,Leslie Moore,Bjorn Kjóisdóttir,Cole Smith,Kyle Morales,Joseph Black,Terence Heaney,Edgars Turiņš,Chad Jones,William Ortega,Nuno Antunes,Michael Davis,Damon Peterson,Jesse West,Daniel Whitaker,Christopher Dudley,Nathan Banks,Timothy Hamilton,Kaur Tamm,Dennis Lyons,Karoly Molnár,Deaglan Brannelly,Dillon Stanley,Jan Beeckman,Jose Godoy,Constantin Albu,Diogo Freitas,Darius Grimes,Charles Leonard,Andre White,Kevin Kent,David Munoz,Adam Milmo,Jay Roberts,Logan Odonnell,Manuel Manning,Robert Jones,Ante Jerič,Jeremy Freeman,Kieran Day,Michael Wenger,Martin Simmons,Reuben Comber,Adam Franco,Frank Cole,Carlos Pedrero,Elliott Phillips,Aaron Doyle,Timo Varis,Ryan Hubbard,Michael Crawford,Billy Williams,Robert Lee,Milan Paľovčík,Peter Cook,Duane Wood,Samuel Gates,Mark Perry,Michael Gordon,Austin Love,Jonathan Thompson,Patrick Schmitz,Francisco Guajardo,Thomas Rogers,James Jennings,Jesse Daugherty,Steven Keller,Josh Boyce,Trevor Booker,Aidan Reardon,Jonathan Johnson,Craig Jackson,Klaus Frühwirth,James Dennis,Randall Miller,Zachary Patel,Philippe Toussaint,Callum Davison,Nicholas Taylor,Michael Johnson,Luke Clark,Duncan Wood,Andrew Collins,Anthony Reid,Luis Fuertes,Paul Flores,Satoshi Inoue,Brian Martinez,Tomasz Cegła,Craig Smith,Brandon Silva,Philippe Cordier,Simon Wilson,Widodo Ramadan,David Ruiz,Malcolm Chambers,Milan Krúpová,Michael Nash,Luis Arranz,Jozsef Horváth,Joe Heath,Gareth Saunders,Michael Daniel,Allen Weiss,Kenneth Miller,David Kennedy,Kazuki Tanaka,Tyler Maughan,Casey Gutierrez,Bernard Godfrey,Tomas Brožová,Adam Bryant,Hendro Kurniawan,Erik Gonzalez,Jose Zimmerman,David Johnston,Kaur Lember,Kazys Nausėda,Eric Walters,Jonas Gailius,Kevin Roberts,Damian McGinty,Walter Randolph,Jordan Evans,Michael Brooks,Robert Rodriguez,Steven Montgomery,Dylan Edwards,Brian Charles,Thomas Black,Karl Svensson,Paulo Souza,Piet Vanneste,Sean-Paul Hosey,Pierre Lebon,Peter Schramm,Stephen Smith,Charles Mosley,Michael Silva,Drew Rangel,Kirk McDade,Dean Taylor,Manfred Hahn
