id,name,age,nationality,driving_power,driving_accuracy,approach_accuracy,short_game,putting,composure,confidence,focus,risk_tolerance,mental_fatigue,consistency,resilience,current_status,introduction_season
2351,Glen Day,20,England,79.83345351619013,31.752030939428025,57.33188959525499,74.21457776549889,88.80519422754219,66.92892455359652,67.62480103257496,77.68524124923249,36.84899380089507,37.295978527838926,56.702554281925714,35.55358723200095,inactive,9
2352,Priit Nõmmik,20,Estonia,87.78348168061451,49.87239688090594,73.24970670544684,47.992822679738694,40.66247321905696,73.36291423862443,77.60838717501133,74.94827241017308,30.664068857196092,93.10384159550964,38.134943212033065,37.46472588833042,inactive,9
2353,Dieter Köster,21,Germany,94.68709021390268,32.29398046792906,73.70478500701356,70.65539973068863,87.76580797098325,83.0283881194618,69.38099428889146,36.0261745819813,26.60319800508511,30.90877330542331,85.06718232462956,78.90597051506404,inactive,9
2354,Lewis Glazier,20,Ireland,35.94623992525416,70.19339232840488,65.74125650539085,62.1816060930016,58.80836053063834,83.72692329007583,65.74659643879255,91.29586318959355,50.70214138787483,70.67294244496115,71.54592804931212,41.60447158404946,inactive,9
2355,Max Cartwright,22,England,88.86240013768072,52.5088981465945,51.8105720352142,81.08934842448078,57.350314006912654,42.00284919449766,52.025691996361175,86.37081799385679,83.63509402916134,50.14474254747748,45.45219699012931,39.9262267956085,inactive,9
2356,Michel Auger,22,France,93.24619665125256,44.49956331440383,38.62332235959986,71.83742460826619,76.61033959980418,59.08317533015126,41.071369911653534,37.46735223817168,33.52967595468327,38.367151001107544,90.10557266177693,87.62393672259941,inactive,9
2357,Patrick Watts,21,USA,33.85032854312886,87.09430720015285,65.01234944563137,44.28869703697757,37.22236468295444,50.44070607523214,76.96591724248584,62.111214687729195,46.03448787105382,73.6062938136998,74.07487075873244,48.25763297483862,inactive,9
2358,Eric Blake,22,Australia,43.32572869035628,73.45415451401755,42.08153080497638,84.05622001491133,33.204325155741685,54.99968664913459,50.5836487779393,36.58103200041301,53.04514701644369,91.27455089668862,58.790181986494154,92.28986440161734,inactive,9
2359,Kevin Rowe,20,Australia,76.02159777260249,64.67741007711028,52.21554454609456,45.156686074774605,72.40662639827806,85.8302697679288,50.005608828489066,84.88404070240188,83.57204681651473,61.92358384593605,62.771758055593,34.24410925204773,inactive,9
2360,Peter Miller,22,Canada,66.36493359212389,89.12197865669341,76.05554956333583,53.40036562477387,65.54792265111871,43.24132848847299,83.06500000087227,46.119995509797576,60.04024125279867,53.32971672442348,46.35913448728345,69.26743734705775,inactive,9
2361,Shaun Burns,20,England,31.77979998023843,66.17782132681357,65.54736941067291,40.8793215581829,48.77738353378978,72.09259451077504,64.99292943097419,78.92891181635957,34.832815847457226,33.67455183084398,93.44661616742235,68.98442654990515,inactive,9
2362,Daniel Rosario,21,USA,87.26140735330239,81.99492189259198,63.548651772610796,55.57414713093283,52.78499944295844,49.46569956407562,69.25737110953425,47.14426607303024,46.349834560897406,65.51448106821466,70.84337540408359,63.19545346924146,inactive,9
2363,Evan Dasey,21,Ireland,71.2328351317492,80.40904874820399,93.1539173364661,48.141121389006784,59.55093264682307,72.01957701811466,56.19219263513422,94.62176531367678,23.739189168201854,61.20664253226036,70.5777453015734,47.948654375758316,active,9
2364,Mikael Selin,22,Sweden,49.59163725036585,71.3297820570152,87.65199311030626,49.503622401494454,63.64627309403584,39.26891820740296,41.303160669857704,61.28378294007626,58.49429315306104,54.886657677675075,36.874558091051796,80.629968956596,inactive,9
2365,Huynh Phạm,21,Vietnam,80.4658613717778,52.93562994259078,60.438644620237866,64.98352838049186,94.91477510964282,58.037849713030056,41.988284379158564,88.30259725337228,83.19379205411616,92.95243865128674,86.69478974315354,60.0798900263544,active,9
2366,Derek Wade,22,England,89.6893438904398,33.37667689016476,46.23276241369555,36.628801862767965,71.2830577677175,86.24998433473397,80.26043367556741,45.77932138235843,51.13587644199707,92.05173192706567,87.34334426450485,82.22992925716814,inactive,9
2367,Simon Taylor,23,England,46.07068129327008,55.50619767091879,43.632813476841605,31.070759520726302,92.99348749404746,57.9338662370388,66.4761059110173,88.61841448330661,36.516246051039786,58.632168619138454,52.243001040632976,35.02411958083751,inactive,9
