event_code,season,first_place,second_place,third_place,fourth_place,fifth_place,sixth_place,seventh_place,eighth_place,ninth_place,tenth_place
INV_3,1,Andrew Collins,Kaur Tamm,Dennis Lyons,David Ruiz,Patrick Schmitz,Vasile Tomescu,Billy Williams,Duane Wood,Kevin Roberts,Michael Nash
INV_3,2,Darius Grimes,Kevin Kent,Luis Arranz,Andrew Collins,Leslie Moore,Constantin Albu,Aaron Doyle,Casey Gutierrez,Mark Perry,Trevor Booker
INV_3,3,Sean Taylor,Harry Miles,Ethan Cox,Jeffery Williams,Francisco Guajardo,Aaron Doyle,Austin Love,Josh Boyce,Leslie Moore,Constantin Albu
INV_3,4,Christopher Dudley,Aaron Doyle,David Johnston,Malcolm Chambers,Timo Varis,Kaur Tamm,Brandon Silva,Francisco Guajardo,Daniel Whitaker,John Case
INV_3,5,Ryan Hubbard,Michael Davis,Darrell Baker,Terence Heaney,Craig Smith,Damon Peterson,Russell Warner,Travis Callahan,Kyle Morales,Christopher Dudley
INV_3,6,Kevin Kent,Simon Wilson,Philip Hall,Steven Keller,William Ortega,Billy Williams,Michael Davis,Kyle Morales,Christian Henry,Anthony Reid
INV_3,7,Christian Henry,Kaur Tamm,Timo Varis,Leslie Moore,Damon Peterson,Constantin Albu,Elliot Holmes,Constantin Stănescu,Kevin Hensley,Anthony Reid
INV_3,8,Anders Thomsen,Antanas Žukauskas,Chad Jones,John Krause,Brandon Baker,Damon Peterson,Karoly Molnár,Michael Davis,Jason Clark,Tomas Brožová
INV_3,9,Travis Callahan,Michael Crawford,Ethan Cox,Juan Bird,Christian Henry,Luis Arranz,Eric Welch,Pavel Čermák,John Krause,Danny Taylor
INV_3,10,Russell Warner,Ryan Hubbard,Michael Sorgatz,Michael Russell,Francisco Guajardo,Adam Milmo,Kyle Morales,Harry Miles,Danny Taylor,Darius Grimes
