event_code,season,first_place,second_place,third_place,fourth_place,fifth_place,sixth_place,seventh_place,eighth_place,ninth_place,tenth_place
SIG3,1,Tomas Brožová,Austin Love,Dennis Lyons,Darius Grimes,Nicholas Taylor,Andrew Collins,Jesse West,Steven Keller,Randall Miller,Luis Arranz
SIG3,2,Kevin Kent,Kyle Morales,Darius Grimes,Elliott Phillips,James Dennis,Leslie Moore,Adam Franco,Jeffery Williams,Luke Clark,Tomas Brožová
SIG3,3,Mark Estrada,Vasile Tomescu,Francisco Guajardo,Luke Clark,Sean Taylor,Bjorn Kjóisdóttir,Jesse West,Kevin Kent,Jeffery Williams,Craig Jackson
SIG3,4,Michael Davis,Zachary Patel,Aaron Doyle,Craig Smith,Kyle Morales,Andrew Collins,Joe Heath,Kevin Kent,Adam Williams,Mark Estrada
SIG3,5,Mark Estrada,David Munoz,Kevin Kent,Randall Miller,Nuno Antunes,Conor Lee,Martin Simmons,Chad Jones,Vasile Tomescu,Adam Franco
SIG3,6,Austin Love,Russell Warner,Timo Varis,Kaur Tamm,Philip Hall,Kyle Morales,Charles Leonard,Dennis Lyons,Elliott Phillips,Darrell Baker
SIG3,7,Sean Taylor,Mark Estrada,Antanas Žukauskas,Chad Jones,Brandon Baker,Pavel Čermák,Conor Lee,Charles Leonard,Milan Paľovčík,Ethan Cox
SIG3,8,Mariusz Machowicz,Travis Callahan,Martin Simmons,Michael Crawford,John Krause,Pavel Čermák,Jose Lucero,James Jennings,Terence Heaney,Brandon Baker
SIG3,9,Kevin Kent,Joe Heath,Danny Taylor,Aidan Reardon,William Ortega,Abdul Shaw,Leslie Moore,Jose Lucero,Kyle Morales,Oliver Smith
SIG3,10,Ethan Cox,Eric Welch,David Garcia,Luke Clark,David Munoz,Jeremy Freeman,Sean Taylor,Philip Hall,Timo Varis,Joe Hayes
