event_code,season,first_place,second_place,third_place,fourth_place,fifth_place,sixth_place,seventh_place,eighth_place,ninth_place,tenth_place
SIG5,1,Francisco Guajardo,Nicholas Taylor,Luis Arranz,Karoly Molnár,Billy Williams,Jeffery Williams,Patrick Schmitz,Dennis Lyons,Zachary Patel,Timothy Best
SIG5,2,Bjorn Kjóisdóttir,Patrick Schmitz,Andrew Collins,Luis Arranz,Kevin Kent,Chad Jones,Kyle Morales,Leslie Moore,Harry Miles,Frank Cole
SIG5,3,Mark Estrada,Travis Callahan,Sean Taylor,Ethan Cox,Bjorn Kjóisdóttir,Charles Leonard,Martin Simmons,Malcolm Chambers,Tomas Brožová,Patrick Schmitz
SIG5,4,Michael Gordon,Simon Wilson,David Johnston,Luke Clark,Patrick Schmitz,Vasile Tomescu,Nuno Antunes,Constantin Albu,Adam Franco,Gareth Saunders
SIG5,5,Ryan Hubbard,William Ortega,Jesse West,Adam Williams,Leslie Moore,Jeremy Freeman,Adam Milmo,Tyler Maughan,Sean Taylor,Austin Love
SIG5,6,Milan Paľovčík,Michael Davis,Conor Lee,Ante Jerič,Kyle Morales,Kevin Hensley,Damon Peterson,Mark Perry,Vasile Tomescu,Peter Steiger
SIG5,7,Andrew Collins,Mark Estrada,David Munoz,Constantin Albu,James Jennings,Luis Arranz,Joe Heath,Kaur Tamm,Zachary Patel,Michael Russell
SIG5,8,Jesse West,Peter Steiger,Michael Davis,Cody McGahey,Kevin Kent,Manuel Manning,Bjorn Kjóisdóttir,Aidan Reardon,Anthony Gaines,Russell Warner
SIG5,9,Michael Davis,Charles Leonard,Ryan Hubbard,Kevin Kent,Aidan Reardon,Ronald Wilcox,Tyler Maughan,Patrick Schmitz,Billy Williams,Jose Lucero
SIG5,10,Mariusz Machowicz,Travis Callahan,Jesse West,Nathan Banks,Jose Lucero,Anthony Reid,Joe Heath,Stephen Schwartz,Huynh Phạm,Craig Smith
