event_code,season,first_place,second_place,third_place,fourth_place,fifth_place,sixth_place,seventh_place,eighth_place,ninth_place,tenth_place
SIG7,1,Nicholas Taylor,Josh Boyce,Mark Estrada,Kaur Tamm,Gareth Saunders,Sean Taylor,Francisco Guajardo,Tomas Brožová,Peter Heß,David Kennedy
SIG7,2,Randall Miller,Bjorn Kjóisdóttir,Mark Estrada,Kevin Kent,James Dennis,Jesse West,Elliott Phillips,Nathan Banks,Cole Smith,Luke Clark
SIG7,3,Karoly Molnár,Mark Estrada,Travis Callahan,Leslie Moore,Jesse West,Michael Davis,Kevin Kent,Jeremy Freeman,William Ortega,David Munoz
SIG7,4,Francisco Guajardo,Charles Leonard,Bjorn Kjóisdóttir,James Dennis,Karoly Molnár,Pavel Čermák,Billy Williams,Aidan Reardon,Michael Johnson,Trevor Booker
SIG7,5,Diogo Freitas,Kevin Kent,Harry Miles,Dennis Lyons,Elliot Holmes,Conor Lee,Peter Steiger,Patrick Schmitz,Juan Gaytán,Robert Lee
SIG7,6,Leslie Moore,Michael Davis,Brandon Baker,Bjorn Kjóisdóttir,Ryan Hubbard,Darrell Baker,Mark Perry,Joe Heath,Kevin Kent,Darius Grimes
SIG7,7,Patrick Schmitz,Philip Hall,Mark Estrada,Charles Leonard,Austin Love,Jeffery Williams,Karoly Molnár,Constantin Albu,Callum Davison,Billy Williams
SIG7,8,Joe Heath,Jose Lucero,Kevin Kent,Sean Taylor,Christian Henry,Macauley McCluskey,Aidan Reardon,Eric Welch,Cody McGahey,Oliver Smith
SIG7,9,Vasile Tomescu,Sean Taylor,Peter Steiger,Constantin Stănescu,Adam Milmo,Luis Arranz,Darius Grimes,Joe Heath,Patrick Schmitz,Michael Jäkel
SIG7,10,Michael Davis,Diogo Freitas,Vasile Tomescu,Michael Johnson,Darius Grimes,Tyler Maughan,Oliver Smith,Ronald Wilcox,Philip Hall,Christian Henry
