event_code,season,first_place,second_place,third_place,fourth_place,fifth_place,sixth_place,seventh_place,eighth_place,ninth_place,tenth_place
STA15,1,Ethan Cox,Karoly Molnár,Nicholas Taylor,David Johnston,Luis Arranz,Gareth Saunders,Andrew Collins,Adam Franco,Patrick Schmitz,Peter Heß
STA15,2,Elliott Phillips,Patrick Schmitz,Jesse West,Jozsef Horváth,Kevin Kent,Jeffery Williams,Leslie Moore,Nicholas Taylor,Ferenc Kiss,Aaron Doyle
STA15,3,Travis Callahan,Ethan Cox,Mark Estrada,William Ortega,Harry Miles,Bjorn Kjóisdóttir,Luis Arranz,Leslie Moore,Aidan Reardon,Cole Smith
STA15,4,Randall Miller,Aidan Reardon,David Kennedy,Adam Milmo,Kevin Kent,Nicholas Taylor,Kyle Morales,Ruari Magee,Travis Callahan,Manuel Manning
STA15,5,William Ortega,Adam Franco,Russell Warner,Karoly Molnár,Luis Arranz,Martin Simmons,Timo Varis,Aaron Doyle,Piet De Coninck,Jeffery Williams
STA15,6,Constantin Albu,Vasile Tomescu,Pavel Čermák,Kevin Kent,Ryan Hubbard,Karoly Molnár,Conor Lee,Mark Estrada,Adam Franco,Ethan Cox
STA15,7,Vasile Tomescu,Aaron Doyle,Jeremy Freeman,Darrell Baker,Randall Miller,Kaur Tamm,Joe Heath,Trevor Booker,Travis Callahan,Abdul Shaw
STA15,8,Conor Lee,Travis Callahan,Oliver Smith,Eric Welch,Harry Miles,Leslie Moore,Shane Harris,Dennis Lyons,Adam Milmo,Jose Lucero
STA15,9,Juan Bird,David Munoz,William Ortega,Leslie Moore,Ethan Cox,Aaron Doyle,David Garcia,Diogo Freitas,Jesse West,Brandon Baker
STA15,10,Nathaniel Dunn,Joe Hayes,Philip Hall,Michael Sorgatz,Christian Henry,Tomas Brožová,Karoly Molnár,Constantin Albu,Tyler Maughan,Damon Peterson
