event_code,season,first_place,second_place,third_place,fourth_place,fifth_place,sixth_place,seventh_place,eighth_place,ninth_place,tenth_place
STA10,1,Sean Taylor,Andrew Collins,Nicholas Taylor,Mark Estrada,Steven Keller,Jeffery Williams,Jose Lucero,Randall Miller,Martin Simmons,Jesse West
STA10,2,Kevin Kent,Patrick Schmitz,Elliott Phillips,Luis Arranz,Mark Perry,Leslie Moore,Bjorn Kjóisdóttir,Kyle Morales,Constantin Albu,Andrew Collins
STA10,3,Karoly Molnár,Travis Callahan,Ethan Cox,David Munoz,Jose Lucero,Sean Taylor,Zachary Patel,Aaron Doyle,William Ortega,Martin Simmons
STA10,4,Randall Miller,Mark Estrada,Ante Jerič,Michael Davis,Jose Lucero,Mark Johnson,Darrell Baker,Nicholas Taylor,Constantin Albu,Karoly Molnár
STA10,5,Travis Callahan,Aidan Reardon,Jeremy Freeman,Nuno Antunes,Peter Steiger,Jesse West,Krzysztof Kaszkowiak,Callum Davison,Diogo Freitas,Jeffery Williams
STA10,6,Jesse West,Leslie Moore,Constantin Albu,Daniel Whitaker,Tyler Maughan,Kaur Tamm,Charles Leonard,Travis Callahan,Adam Williams,James Jennings
STA10,7,Milan Paľovčík,Christian Henry,Damon Peterson,Constantin Albu,Dennis Lyons,Adam Milmo,Jeffery Williams,Michael Davis,Jose Lucero,Patrick Schmitz
STA10,8,Adam Milmo,Ryan Hubbard,Mark Estrada,Kaur Tamm,Aaron Doyle,Stephen Johnson,Dennis Lyons,Zachary Patel,Jason Clark,Juan Bird
STA10,9,James Jennings,Anthony Gaines,Anders Thomsen,Tyler Maughan,Bjorn Kjóisdóttir,Leslie Moore,Craig Smith,Shane Harris,Evan Dasey,Ronald Wilcox
STA10,10,Patrick Schmitz,Sean Taylor,Vasile Tomescu,Aaron Doyle,Ronald Wilcox,Shane Harris,Aidan Reardon,Mariusz Machowicz,Andrew Collins,Mark Estrada
