event_code,season,first_place,second_place,third_place,fourth_place,fifth_place,sixth_place,seventh_place,eighth_place,ninth_place,tenth_place
STA_16,1,Ethan Cox,Karoly Molnár,Michael Johnson,Kaur Tamm,Travis Callahan,David Ruiz,Sean Taylor,Gary Jacobson,Tony Allen,James Dyer
STA_16,2,Kevin Kent,Luis Arranz,Vasile Tomescu,Randall Miller,Nathan Banks,Kaur Tamm,Andrew Collins,Constantin Albu,Jeffery Williams,Cole Smith
STA_16,3,Mark Estrada,Darius Grimes,Kevin Kent,Bjorn Kjóisdóttir,Karoly Molnár,Luke Clark,Jesse West,Martin Simmons,Luis Arranz,David Munoz
STA_16,4,Jesse West,Constantin Albu,Ryan Hubbard,Mark Perry,Karoly Molnár,Josh Boyce,Diogo Freitas,Callum Davison,Adam Franco,Nuno Antunes
STA_16,5,Peter Steiger,Charles Leonard,Francisco Guajardo,Russell Warner,Bjorn Kjóisdóttir,Sean Taylor,Michael Crawford,Jeffery Williams,Conor Lee,Billy Williams
STA_16,6,Zachary Patel,Harry Miles,Hans Fankhauser,Travis Callahan,Conor Lee,Adam Milmo,Jose Lucero,Callum Davison,Josh Boyce,David Thomas
STA_16,7,Leslie Moore,Darius Grimes,Mark Perry,David Morris,Bjorn Kjóisdóttir,Mark Estrada,Brandon Baker,Ethan Cox,Alexander Campbell,Christian Henry
STA_16,8,Stephen Schwartz,Eric Welch,Macauley McCluskey,Nathan Banks,Constantin Stănescu,Patrick Schmitz,Philip Hall,Mark Estrada,Vasile Tomescu,Shane Harris
STA_16,9,Michael Crawford,Pavel Čermák,David Morris,Aidan Reardon,Vasile Tomescu,Aaron Doyle,Darius Grimes,Manuel Manning,Kevin Hensley,Terence Heaney
STA_16,10,Joe Hayes,Karoly Molnár,Vasile Tomescu,Peter Steiger,Sean Taylor,Leslie Moore,Travis Callahan,Adam Milmo,Patrick Schmitz,Mark Estrada
