event_code,season,first_place,second_place,third_place,fourth_place,fifth_place,sixth_place,seventh_place,eighth_place,ninth_place,tenth_place
SIG_4,1,Andrew Collins,Mark Estrada,Kaur Tamm,Randall Miller,David Johnston,David Munoz,Jeffery Williams,Nicholas Taylor,Peter Heß,Karoly Molnár
SIG_4,2,Constantin Albu,Kevin Kent,Leslie Moore,Bjorn Kjóisdóttir,Luis Arranz,Nicholas Taylor,Mark Estrada,Luke Clark,James Dennis,Elliott Phillips
SIG_4,3,Ethan Cox,Mark Estrada,Joe Heath,Michael Davis,Jeremy Freeman,David Munoz,Jose Lucero,Harry Miles,Jeffery Williams,David Kennedy
SIG_4,4,Jesse West,Ethan Cox,Mark Estrada,Craig Jackson,Michael Johnson,Luke Clark,Dillon Stanley,Daniel Whitaker,Zachary Patel,Nuno Antunes
SIG_4,5,Patrick Schmitz,Jacob Williams,Michael Crawford,William Ortega,Michael Johnson,Kevin Kent,Diogo Freitas,Bjorn Kjóisdóttir,Adam Williams,Robert Lee
SIG_4,6,Mark Estrada,Bjorn Kjóisdóttir,Brandon Baker,Kevin Kent,Jeffery Williams,Jason Clark,Michael Johnson,Luis Arranz,Chad Jones,Adam Milmo
SIG_4,7,Billy Williams,Karoly Molnár,Kyle Morales,Callum Davison,Juan Gaytán,Mark Estrada,Patrick Schmitz,Ryan Hubbard,Travis Callahan,Damon Peterson
SIG_4,8,Mark Estrada,Jesse West,Harry Miles,David Morris,Kyle Morales,Jose Lucero,Diogo Freitas,Bryan Washington,Kevin Kent,Michael Davis
SIG_4,9,Milan Paľovčík,Adam Milmo,Craig Jackson,Christian Henry,David Garcia,Terry Nguyen,Mark Estrada,Ryan Hubbard,Joseph Brady,Martin Simmons
SIG_4,10,Dennis Lyons,Bryan Lennon,Kevin Hensley,Bryan Washington,Kevin Kent,Adam Milmo,Shane Harris,Kyle Morales,Ryan Hubbard,Karoly Molnár
