city,state,month,month_num,temperature_2m_mean,windspeed_10m_mean,precipitation_sum,relative_humidity_2m_mean,cloudcover_mean
Alabaster,AL,January,1,42.89354838709677,11.003225806451612,7.595999999999999,72.72903225806452,43.37419354838709
Alabaster,AL,February,2,52.61379310344827,10.96206896551724,5.259999999999999,63.90689655172413,32.258620689655174
Alabaster,AL,March,3,58.26451612903225,10.012903225806452,4.656000000000001,68.12903225806451,40.24838709677419
Alabaster,AL,April,4,64.11333333333333,10.826666666666664,2.052,69.88333333333334,36.52666666666666
Alabaster,AL,May,5,74.13548387096773,9.467741935483875,2.76,73.74838709677421,38.68709677419355
Alabaster,AL,June,6,79.67333333333333,8.863333333333335,5.1,69.77999999999999,29.946666666666665
Alabaster,AL,July,7,79.85161290322581,8.148387096774192,8.258000000000001,82.30000000000003,36.22258064516128
Alabaster,AL,August,8,80.40322580645162,8.538709677419355,1.453,70.96129032258064,16.129032258064516
Alabaster,AL,September,9,75.88333333333335,8.600000000000001,4.145,74.64333333333335,45.16333333333333
Alabaster,AL,October,10,67.03548387096774,7.651612903225807,0.001,68.04838709677419,10.851612903225808
Alabaster,AL,November,11,60.78,9.81,4.373999999999999,77.17333333333335,43.386666666666656
Alabaster,AL,December,12,48.98064516129032,9.506451612903229,3.559,71.87741935483872,42.44838709677419
Auburn,AL,January,1,45.5516129032258,13.667741935483871,6.208,71.32580645161289,36.98709677419355
Auburn,AL,February,2,53.53793103448275,14.234482758620691,6.178000000000001,63.10344827586205,34.12068965517241
Auburn,AL,March,3,59.36774193548386,13.05483870967742,6.814,70.01935483870969,44.45161290322581
Auburn,AL,April,4,65.41,13.453333333333337,2.532,68.70666666666668,36.61333333333333
Auburn,AL,May,5,73.18709677419352,12.28064516129032,7.126,77.81612903225806,40.367741935483885
Auburn,AL,June,6,79.37999999999998,11.889999999999995,3.683,71.39000000000001,29.63000000000001
Auburn,AL,July,7,80.24838709677422,10.803225806451614,5.744,81.74838709677418,41.04193548387097
Auburn,AL,August,8,81.03225806451614,12.029032258064516,0.194,69.96774193548387,25.84193548387097
Auburn,AL,September,9,74.96333333333332,12.266666666666667,9.896,78.33,48.42666666666667
Auburn,AL,October,10,66.79677419354839,11.051612903225806,0.0819999999999999,70.0258064516129,12.06774193548387
Auburn,AL,November,11,60.68666666666665,12.033333333333337,3.281,80.36666666666669,43.38666666666666
Auburn,AL,December,12,49.49677419354838,12.735483870967744,5.117999999999999,70.62580645161292,37.17419354838711
Avondale,AZ,January,1,53.08387096774194,10.15483870967742,0.404,52.13548387096775,25.280645161290323
Avondale,AZ,February,2,58.92068965517241,11.120689655172418,1.0730000000000002,50.75862068965517,25.86551724137932
Avondale,AZ,March,3,62.90967741935484,14.629032258064516,1.029,42.987096774193546,31.22258064516129
Avondale,AZ,April,4,72.26333333333334,13.393333333333327,0.522,25.829999999999995,14.516666666666673
Avondale,AZ,May,5,82.68709677419352,14.48064516129032,0.002,14.290322580645158,10.483870967741938
